letter	frequency
0	0.22048219
1	0.78207487
2	0.6778531
3	0.59505326
4	0.5094009
5	0.47476166
6	0.3827486
7	0.34698105
8	0.38297224
9	0.35083658
10	0.3189508
11	0.29542106
12	0.2748337
13	0.24349535
14	0.18825968
15	0.27775517
16	0.42168444
17	0.40924788
18	0.48013738
19	0.34876958
20	0.3182806
21	0.3612845
22	0.3704519
23	0.37434727
24	0.42533916
25	0.34548253
26	0.38480672
27	0.38144356
28	0.35508344
29	0.279813
30	0.32246548
31	0.25114304
32	0.41905138
33	0.39099407
34	0.3811374
35	0.36531186
36	0.30185276
37	0.3085799
38	0.32736236
39	0.3249534
40	0.27423134
41	0.337018
42	0.28254774
43	0.28767195
44	0.30195194
45	0.29560938
46	0.17279628
47	0.32309422
48	0.4082921
49	0.3852482
50	0.37013623
51	0.3751232
52	0.33543515
53	0.28616017
54	0.29926866
55	0.35064754
56	0.28504902
57	0.30588016
58	0.2809807
59	0.2257394
60	0.24543926
61	0.26777998
62	0.20649895
63	0.20914467
64	0.26962012
65	0.37718028
66	0.37195176
67	0.29400912
68	0.3477993
69	0.32002875
70	0.27580267
71	0.32510465
72	0.25129047
73	0.24294198
74	0.2824648
75	0.2852857
76	0.2848984
77	0.27136618
78	0.19750123
79	0.24822323
80	0.37651163
81	0.38191846
82	0.4076498
83	0.3512999
84	0.34107074
85	0.35762462
86	0.29397073
87	0.38879868
88	0.36295992
89	0.2701567
90	0.35184783
91	0.3138325
92	0.3016841
93	0.32260117
94	0.3260681
95	0.3777137
96	0.45655075
97	0.4678468
98	0.4835404
99	0.5663394
100	0.44811958
101	0.46966058
102	0.47027722
103	0.4454197
104	0.4765134
105	0.46160793
106	0.44779465
107	0.48885623
108	0.4806092
109	0.44649252
110	0.5424586
111	0.4984226
112	0.5239583
113	0.58016527
114	0.5943426
115	0.58917826
116	0.57256466
117	0.5839214
118	0.61792004
119	0.6128937
120	0.5960407
121	0.5977326
122	0.61526734
123	0.57236546
124	0.5438698
125	0.5982679
126	0.58111036
127	0.70843893
128	0.4835182
129	0.7767129
130	0.72899437
131	0.678205
132	0.7159855
133	0.63539684
134	0.5798527
135	0.5659847
136	0.5116716
137	0.46515653
138	0.35212278
139	0.30250695
140	0.28886986
141	0.26936823
142	0.1820656
143	0.1833206
144	0.3071614
145	0.29989868
146	0.27309063
147	0.29069772
148	0.29676098
149	0.321088
150	0.25622126
151	0.24246319
152	0.28823844
153	0.26625562
154	0.25253788
155	0.29836684
156	0.34113026
157	0.35953856
158	0.26176295
159	0.36216906
160	0.38809305
161	0.40887284
162	0.4348651
163	0.4363839
164	0.3859114
165	0.43660232
166	0.43708912
167	0.36683926
168	0.39992338
169	0.42917988
170	0.31741753
171	0.42829302
172	0.35125184
173	0.32730505
174	0.36529347
175	0.28142375
176	0.39018258
177	0.4045884
178	0.3821635
179	0.43268505
180	0.4328906
181	0.3929583
182	0.33196968
183	0.35186216
184	0.354777
185	0.37798542
186	0.31176615
187	0.32488176
188	0.26043174
189	0.22231069
190	0.22174135
191	0.19012009
192	0.34085542
193	0.25434646
194	0.2942498
195	0.30746058
196	0.21537313
197	0.26507053
198	0.3325362
199	0.24601041
200	0.29586068
201	0.3067429
202	0.23818378
203	0.24336536
204	0.22309425
205	0.21640897
206	0.10261866
207	0.15240836
208	0.2446434
209	0.16361722
210	0.07572426
211	0.095618844
212	0.21305466
213	0.12922218
214	0.23147163
215	0.16053729
216	0.35036996
217	0.12975024
218	0.11210461
219	0.12254881
220	0.06433801
221	0.16944595
222	0.17216966
223	0.21770695
224	0.27308577
225	0.3479899
226	0.30278173
227	0.3057094
228	0.21575172
229	0.36428317
230	0.31559664
231	0.33677357
232	0.34069777
233	0.40030986
234	0.33648416
235	0.33308125
236	0.27066296
237	0.38118187
238	0.3850154
239	0.40250793
240	0.50259095
241	0.55941695
242	0.56145036
243	0.5436202
244	0.62140304
245	0.50629383
246	0.5239388
247	0.54814565
248	0.5823388
249	0.58489645
250	0.5246473
251	0.6480283
252	0.5333937
253	0.61076075
254	0.56622493
255	0.70117724
