letter	frequency
0	0.7446627
1	0.070670806
2	0.22277685
3	0.06762256
4	0.068745285
5	0.08861969
6	0.07787528
7	0.091959864
8	0.061636433
9	0.079835705
10	0.0800479
11	0.09542776
12	0.077191435
13	0.09069111
14	0.089417085
15	0.09422534
16	0.07290086
17	0.08953075
18	0.086362086
19	0.084851176
20	0.09039582
21	0.09842651
22	0.10385348
23	0.10554773
24	0.07128528
25	0.10291315
26	0.10377828
27	0.09547451
28	0.0834262
29	0.107676916
30	0.09172587
31	0.103213005
32	0.06918708
33	0.09604589
34	0.092646465
35	0.11676052
36	0.102394454
37	0.10697641
38	0.11227425
39	0.12592037
40	0.093032576
41	0.106475994
42	0.11084417
43	0.12883565
44	0.12506245
45	0.113178745
46	0.11403574
47	0.11898735
48	0.059462372
49	0.081047006
50	0.110818654
51	0.10735784
52	0.10063323
53	0.11551454
54	0.11731053
55	0.12690891
56	0.10232631
57	0.14371096
58	0.11560639
59	0.19899657
60	0.10294319
61	0.12273922
62	0.122586176
63	0.11866354
64	0.057151455
65	0.0763509
66	0.08402526
67	0.085109204
68	0.10569927
69	0.105405435
70	0.14052285
71	0.16005068
72	0.09306927
73	0.15971203
74	0.12518542
75	0.13042079
76	0.11594833
77	0.14286743
78	0.13555138
79	0.14378405
80	0.0684394
81	0.11027167
82	0.12470838
83	0.14219984
84	0.116901994
85	0.13687609
86	0.13554926
87	0.14562936
88	0.102075
89	0.13594334
90	0.1280216
91	0.13715929
92	0.11610723
93	0.13982727
94	0.13873148
95	0.15531214
96	0.0644169
97	0.11967858
98	0.10638823
99	0.111833066
100	0.10898075
101	0.13034832
102	0.13862932
103	0.14598957
104	0.09951812
105	0.14717066
106	0.13724045
107	0.14053379
108	0.12747186
109	0.15174155
110	0.13184947
111	0.1503558
112	0.07624698
113	0.111023284
114	0.13320257
115	0.13174874
116	0.119742274
117	0.13947864
118	0.13640565
119	0.1544799
120	0.104279324
121	0.15079054
122	0.13174705
123	0.14397858
124	0.12335897
125	0.14184998
126	0.1464607
127	0.15737405
128	0.06749358
129	0.0722361
130	0.07841672
131	0.089690804
132	0.08093958
133	0.08976974
134	0.100839876
135	0.12745681
136	0.08833482
137	0.119430564
138	0.11597352
139	0.13231313
140	0.105518535
141	0.1336403
142	0.13349257
143	0.15465547
144	0.07466747
145	0.16741307
146	0.12428184
147	0.1323911
148	0.15133229
149	0.13818987
150	0.14875157
151	0.16643237
152	0.098187074
153	0.15241235
154	0.14089596
155	0.15949832
156	0.117725536
157	0.15366401
158	0.15665787
159	0.16919503
160	0.0670442
161	0.10417601
162	0.1247077
163	0.13919882
164	0.12667464
165	0.14830416
166	0.148406
167	0.151679
168	0.10912515
169	0.1685003
170	0.15337709
171	0.16879101
172	0.13076079
173	0.15549998
174	0.1651699
175	0.17467384
176	0.07887485
177	0.12530762
178	0.13880661
179	0.16135062
180	0.13453165
181	0.1584516
182	0.14958781
183	0.15848574
184	0.10542573
185	0.15024856
186	0.14811325
187	0.16659729
188	0.1331805
189	0.16822013
190	0.16538931
191	0.17680636
192	0.06034233
193	0.08211249
194	0.08210638
195	0.09947469
196	0.10775951
197	0.12302206
198	0.11843257
199	0.13422582
200	0.099352784
201	0.14603144
202	0.13523112
203	0.15401213
204	0.11469207
205	0.14587942
206	0.14884439
207	0.16890839
208	0.07637667
209	0.12300923
210	0.13412923
211	0.1649576
212	0.1460879
213	0.15393838
214	0.13237911
215	0.1583342
216	0.10615949
217	0.15153624
218	0.1544138
219	0.16264743
220	0.13542888
221	0.17123792
222	0.15872663
223	0.19324413
224	0.06603645
225	0.101123
226	0.13371862
227	0.13688391
228	0.12560156
229	0.1585298
230	0.1606662
231	0.15113918
232	0.10197456
233	0.14934096
234	0.15462486
235	0.17554252
236	0.14611855
237	0.17889297
238	0.16968675
239	0.18890628
240	0.08139135
241	0.13083518
242	0.1587958
243	0.16512974
244	0.14100444
245	0.18039626
246	0.16167733
247	0.18047585
248	0.10483101
249	0.334561
250	0.14995548
251	0.17307584
252	0.14021708
253	0.18077397
254	0.1538847
255	0.22945294
