letter	frequency
0	0.9992525
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	0.20801947
10	0.33327508
11	1
12	1
13	0.6528438
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	0.36122832
33	0.8487757
34	0.21366955
35	0.8718466
36	0.9687813
37	0.7921834
38	0.7447252
39	0.61159015
40	0.70805997
41	0.7080604
42	0.95620114
43	0.8821275
44	0.54703057
45	0.17835075
46	0.21595567
47	0.10973357
48	0.37245667
49	0.40849426
50	0.50427616
51	0.61924875
52	0.6747752
53	0.6959406
54	0.73017144
55	0.7601306
56	0.72138226
57	0.7324071
58	0.38259742
59	0.56359
60	0.1741479
61	0.3299163
62	0.17768152
63	0.8705489
64	0.9738256
65	0.7054448
66	0.80759984
67	0.7405076
68	0.75478536
69	0.7076016
70	0.745107
71	0.86526054
72	0.7957948
73	0.74742174
74	0.9262113
75	0.9238797
76	0.772365
77	0.7264777
78	0.80595785
79	0.7905217
80	0.7642599
81	0.94938
82	0.78476334
83	0.7146141
84	0.66858345
85	0.8382137
86	0.9167881
87	0.8965418
88	0.9492904
89	0.8551345
90	0.9563574
91	0.88588005
92	0.9036367
93	0.88582265
94	0.9953787
95	0.5737657
96	0.99838907
97	0.085933164
98	0.3041823
99	0.14064966
100	0.17493525
101	0.050721083
102	0.312198
103	0.26338345
104	0.18393666
105	0.10037345
106	0.67465544
107	0.5645239
108	0.11645147
109	0.17889597
110	0.07720167
111	0.06265932
112	0.17642806
113	0.8455565
114	0.092580415
115	0.11656354
116	0.09449381
117	0.20352529
118	0.28774548
119	0.33932722
120	0.58554876
121	0.3464696
122	0.84301865
123	0.85347
124	0.91156197
125	0.8535774
126	0.99648887
127	1
128	0.98163843
129	0.99524134
130	0.996195
131	0.9984484
132	0.9958056
133	0.9979394
134	0.99754506
135	0.99672014
136	0.9964653
137	0.9975865
138	0.9974943
139	0.9981179
140	0.99673915
141	0.9982738
142	0.99866724
143	0.9984629
144	0.9982826
145	0.99850506
146	0.99845386
147	0.9957086
148	0.9969837
149	0.99770904
150	0.9976477
151	0.99685746
152	0.99750715
153	0.9934839
154	0.9977358
155	0.99867374
156	0.9955659
157	0.9970294
158	0.99812686
159	0.99821085
160	0.98297656
161	0.99583673
162	0.996112
163	0.99723655
164	0.99519265
165	0.99632674
166	0.9972625
167	0.9953613
168	0.99617493
169	0.99374455
170	0.9966372
171	0.9976913
172	0.9963618
173	0.99610746
174	0.9972197
175	0.99744236
176	0.9967356
177	0.9953345
178	0.9963872
179	0.9961716
180	0.99551314
181	0.9968667
182	0.9980322
183	0.9943761
184	0.99315274
185	0.9944697
186	0.9953276
187	0.9956149
188	0.9955817
189	0.9971318
190	0.9970162
191	0.997119
192	0.9992517
193	0.99951416
194	0.9807844
195	0.9873908
196	0.99874425
197	0.9990006
198	0.9992257
199	0.99938273
200	0.9995225
201	0.9997098
202	0.99915445
203	0.9994777
204	0.9993994
205	0.99947613
206	0.9978531
207	0.9994454
208	0.9932215
209	0.9974148
210	0.99893785
211	0.9992997
212	0.9995451
213	0.9995764
214	0.9987773
215	0.9985283
216	0.9959158
217	0.99815273
218	0.9990581
219	0.9990348
220	0.99990153
221	0.99984133
222	0.99989206
223	0.9994973
224	0.99351186
225	0.99943715
226	0.9828429
227	0.99806273
228	0.99647474
229	0.99695975
230	0.9959597
231	0.99705654
232	0.9974628
233	0.99769235
234	0.99894595
235	0.99915
236	0.9988376
237	0.99912107
238	0.9997395
239	0.9972486
240	0.9998208
241	0.9998659
242	0.9999072
243	0.99973524
244	0.99990165
245	0.9999661
246	0.99960864
247	0.9993456
248	0.9996869
249	0.99998623
250	0.9994975
251	0.9993578
252	0.9989205
253	0.99983287
254	0.9999407
255	0.9999999
