letter	frequency
0	0.5455735
1	0.21956652
2	0.2834418
3	0.2686666
4	0.23334289
5	0.3282266
6	0.27063885
7	0.18594725
8	0.23115796
9	0.19515347
10	0.30462137
11	0.2870426
12	0.2590667
13	0.2191683
14	0.24791253
15	0.32355988
16	0.24870358
17	0.22270446
18	0.22139718
19	0.26856288
20	0.23143165
21	0.26683083
22	0.22600472
23	0.24913162
24	0.203286
25	0.18998198
26	0.25106135
27	0.15918091
28	0.20816611
29	0.1986974
30	0.20035951
31	0.24509442
32	0.20012157
33	0.19389713
34	0.14798172
35	0.19584428
36	0.11822771
37	0.27953866
38	0.2256829
39	0.2083333
40	0.20137225
41	0.24014296
42	0.18789653
43	0.21787812
44	0.26430938
45	0.21995807
46	0.25732982
47	0.23671849
48	0.23554559
49	0.19892763
50	0.13188727
51	0.20072918
52	0.23252892
53	0.16051129
54	0.24688144
55	0.19294779
56	0.18241131
57	0.192343
58	0.23589544
59	0.21151286
60	0.16482401
61	0.19558798
62	0.21496046
63	0.19472088
64	0.17760365
65	0.25964135
66	0.19305082
67	0.2585952
68	0.18534255
69	0.21107824
70	0.19483902
71	0.2065313
72	0.16200063
73	0.20091657
74	0.16566867
75	0.25394052
76	0.20035219
77	0.22249083
78	0.20670472
79	0.25517797
80	0.24352409
81	0.18551622
82	0.226129
83	0.19733842
84	0.12252376
85	0.21254468
86	0.21056117
87	0.2099892
88	0.24493408
89	0.17172314
90	0.21658796
91	0.21401404
92	0.18270038
93	0.18274587
94	0.25733417
95	0.35994887
96	0.19284694
97	0.213104
98	0.17904536
99	0.14881195
100	0.22334798
101	0.23473571
102	0.18729572
103	0.17977862
104	0.20968373
105	0.21480209
106	0.20626967
107	0.1778915
108	0.229406
109	0.22597277
110	0.18794297
111	0.23921233
112	0.21341409
113	0.2392513
114	0.1564085
115	0.2089156
116	0.21972632
117	0.1970046
118	0.20481296
119	0.2078362
120	0.24133281
121	0.21113878
122	0.15361439
123	0.20182411
124	0.29278365
125	0.16931844
126	0.23483725
127	0.17124526
128	0.23520143
129	0.17712145
130	0.27245668
131	0.20797944
132	0.21746255
133	0.18002559
134	0.1971603
135	0.21487607
136	0.18657531
137	0.25293937
138	0.22989948
139	0.24281299
140	0.15092734
141	0.18706574
142	0.17311811
143	0.30515102
144	0.16656743
145	0.15654948
146	0.16470174
147	0.18722709
148	0.2321315
149	0.20525497
150	0.16035639
151	0.19274281
152	0.18495433
153	0.1439393
154	0.21467607
155	0.2249388
156	0.24708737
157	0.14320764
158	0.15887336
159	0.20827918
160	0.23046303
161	0.21835522
162	0.28632644
163	0.24581212
164	0.23267277
165	0.2172116
166	0.15522738
167	0.21445657
168	0.18362553
169	0.20098007
170	0.13194682
171	0.23430906
172	0.20286645
173	0.15567052
174	0.19942854
175	0.29458073
176	0.19626357
177	0.18519433
178	0.17798556
179	0.273482
180	0.22687902
181	0.20456855
182	0.18821095
183	0.25665784
184	0.19522882
185	0.17514111
186	0.19219512
187	0.260748
188	0.20741701
189	0.20637113
190	0.2694983
191	0.17809702
192	0.23277628
193	0.29013637
194	0.34387013
195	0.2660096
196	0.2849063
197	0.21658291
198	0.1579013
199	0.12845613
200	0.1747567
201	0.15530989
202	0.15283206
203	0.22327392
204	0.2268784
205	0.17070009
206	0.14020525
207	0.17421387
208	0.25041485
209	0.26534328
210	0.18501173
211	0.15139122
212	0.19490044
213	0.18192153
214	0.18526578
215	0.24134497
216	0.19354858
217	0.16495411
218	0.23930459
219	0.20460884
220	0.18931709
221	0.21484245
222	0.21205354
223	0.235126
224	0.23190548
225	0.28237513
226	0.24188076
227	0.1283336
228	0.1694842
229	0.16682716
230	0.17014496
231	0.16721173
232	0.25522533
233	0.14751886
234	0.13920927
235	0.22045822
236	0.21047722
237	0.22051477
238	0.21371363
239	0.2389686
240	0.34342834
241	0.2505425
242	0.19194774
243	0.24887215
244	0.20601521
245	0.23683806
246	0.19879997
247	0.24473733
248	0.25671938
249	0.16837274
250	0.28589883
251	0.2353896
252	0.15901934
253	0.25459096
254	0.1956674
255	0.23557192
