letter	frequency
0	0.77330184
1	0.26454547
2	0.1949269
3	0.10255176
4	0.17472273
5	0.15414514
6	0.12804224
7	0.12438815
8	0.18640953
9	0.1306425
10	0.15239139
11	0.2170381
12	0.14206524
13	0.17519236
14	0.15409772
15	0.15452093
16	0.1656207
17	0.14978676
18	0.16949247
19	0.16898263
20	0.14497778
21	0.16120367
22	0.1534595
23	0.16855724
24	0.15062164
25	0.17861694
26	0.1600917
27	0.16422245
28	0.17334299
29	0.13993903
30	0.15467177
31	0.1505155
32	0.09156153
33	0.13224493
34	0.12715885
35	0.19591004
36	0.13492562
37	0.17083545
38	0.16342804
39	0.17135565
40	0.1611539
41	0.17153096
42	0.1548326
43	0.16754405
44	0.1662087
45	0.08644197
46	0.1354777
47	0.16712122
48	0.102622084
49	0.16918951
50	0.1600224
51	0.13760209
52	0.15792833
53	0.17439623
54	0.17290194
55	0.14395632
56	0.1336299
57	0.14709243
58	0.17125309
59	0.1690619
60	0.17127715
61	0.103242904
62	0.10600523
63	0.14837538
64	0.13159461
65	0.14467825
66	0.15293579
67	0.18711436
68	0.1575277
69	0.18079843
70	0.15807611
71	0.16914535
72	0.12358182
73	0.12683119
74	0.16511251
75	0.17067097
76	0.15560259
77	0.189066
78	0.17328255
79	0.16978194
80	0.20968883
81	0.17936945
82	0.14397968
83	0.1752816
84	0.17047547
85	0.16937226
86	0.15408345
87	0.16912168
88	0.15343867
89	0.17645715
90	0.121622264
91	0.14930223
92	0.16230969
93	0.16390838
94	0.20636539
95	0.15455684
96	0.16091089
97	0.14442848
98	0.14643897
99	0.13018003
100	0.14192308
101	0.14386688
102	0.1622682
103	0.15436296
104	0.14134502
105	0.13684347
106	0.1932383
107	0.1596676
108	0.16719794
109	0.13308913
110	0.14353348
111	0.13049163
112	0.12448135
113	0.14266069
114	0.1377297
115	0.16219057
116	0.13832596
117	0.18032475
118	0.15235773
119	0.17132401
120	0.13435106
121	0.15825854
122	0.16129817
123	0.14758058
124	0.10072681
125	0.16777444
126	0.16609533
127	0.12072462
128	0.13402188
129	0.1342451
130	0.13918243
131	0.15513605
132	0.13196845
133	0.09940353
134	0.14651142
135	0.18339288
136	0.1392004
137	0.14853917
138	0.17491925
139	0.1548401
140	0.1586389
141	0.15396293
142	0.13367502
143	0.15607348
144	0.1733581
145	0.17602639
146	0.14098918
147	0.17544352
148	0.14888032
149	0.16637023
150	0.091639064
151	0.15450947
152	0.15612714
153	0.18099308
154	0.16560672
155	0.14124642
156	0.12666701
157	0.15980011
158	0.17008986
159	0.09883467
160	0.16152504
161	0.15839557
162	0.17941527
163	0.12658177
164	0.14193575
165	0.15722091
166	0.17434697
167	0.1664631
168	0.14805235
169	0.15491632
170	0.16829056
171	0.18916406
172	0.17755474
173	0.18382706
174	0.15448986
175	0.16270187
176	0.14394392
177	0.1752609
178	0.15171464
179	0.17208605
180	0.13975488
181	0.1803329
182	0.1714052
183	0.19460277
184	0.13880251
185	0.17395955
186	0.16807826
187	0.16214876
188	0.16577044
189	0.17367934
190	0.15553896
191	0.16879468
192	0.14717583
193	0.16262315
194	0.15461996
195	0.17230092
196	0.12874359
197	0.1400997
198	0.14759603
199	0.16713099
200	0.15376751
201	0.19044846
202	0.16577639
203	0.16486369
204	0.14940643
205	0.15721782
206	0.15974528
207	0.1291578
208	0.16330348
209	0.15259443
210	0.14740492
211	0.15856259
212	0.16109718
213	0.17637366
214	0.17602831
215	0.18036138
216	0.1918944
217	0.15173052
218	0.14678486
219	0.15452032
220	0.16429004
221	0.18369354
222	0.1687289
223	0.13828279
224	0.16392235
225	0.13938655
226	0.13681932
227	0.14320794
228	0.17052336
229	0.16268915
230	0.15789762
231	0.13241257
232	0.14735544
233	0.1670051
234	0.15981096
235	0.17777759
236	0.17196216
237	0.16719677
238	0.14871858
239	0.1453359
240	0.15203325
241	0.10196972
242	0.17497182
243	0.11605946
244	0.16673017
245	0.1535205
246	0.16611914
247	0.1798147
248	0.12403468
249	0.13069658
250	0.16540827
251	0.13590471
252	0.14006197
253	0.13712476
254	0.12884532
255	0.15497628
