letter	frequency
0	0.000061797895
1	0.349915
2	0.25414887
3	0.42715394
4	0.3006643
5	0.3445112
6	0.3934385
7	0.3712021
8	0.2770779
9	0.3437978
10	0.3866156
11	0.4404094
12	0.2801353
13	0.36033395
14	0.33832517
15	0.4385859
16	0.3451199
17	0.32520595
18	0.29678863
19	0.3948867
20	0.2759202
21	0.367026
22	0.36578315
23	0.41650632
24	0.35823327
25	0.35856834
26	0.39514732
27	0.3774218
28	0.34994924
29	0.32253775
30	0.43135047
31	0.38254625
32	0.2938517
33	0.34078982
34	0.2535622
35	0.27154383
36	0.2484617
37	0.29127333
38	0.3424011
39	0.32621983
40	0.33854643
41	0.25862026
42	0.32755935
43	0.34509063
44	0.40605867
45	0.4064101
46	0.3837394
47	0.42245236
48	0.37072793
49	0.37442815
50	0.35027573
51	0.34674412
52	0.39808658
53	0.39940643
54	0.40843117
55	0.38818803
56	0.38918462
57	0.32974526
58	0.43195876
59	0.342298
60	0.38289902
61	0.42505243
62	0.40939987
63	0.3241759
64	0.3045136
65	0.3229407
66	0.3198047
67	0.32411692
68	0.30001047
69	0.33778936
70	0.3230514
71	0.3058445
72	0.34345564
73	0.24488518
74	0.32829604
75	0.34954622
76	0.2876567
77	0.33246264
78	0.34888995
79	0.38195187
80	0.3878547
81	0.28482735
82	0.33556148
83	0.2862651
84	0.33998927
85	0.19492279
86	0.33607998
87	0.35734642
88	0.35452536
89	0.3409158
90	0.33381137
91	0.34003833
92	0.41629806
93	0.32719284
94	0.37740237
95	0.31110743
96	0.4298981
97	0.33382684
98	0.32120883
99	0.34789774
100	0.29277906
101	0.3392599
102	0.3516665
103	0.31968638
104	0.3213307
105	0.40828627
106	0.30593255
107	0.3444673
108	0.34176713
109	0.36507282
110	0.35611454
111	0.4062683
112	0.40024242
113	0.3647592
114	0.31558186
115	0.34267527
116	0.3068157
117	0.34414867
118	0.3144333
119	0.33835846
120	0.43905684
121	0.41805655
122	0.4026747
123	0.35706738
124	0.3796797
125	0.33528283
126	0.35000002
127	0.22824837
128	0.42526582
129	0.4226753
130	0.33432156
131	0.3936161
132	0.3438791
133	0.36152568
134	0.355617
135	0.38427645
136	0.26333234
137	0.31855342
138	0.34687418
139	0.39650232
140	0.3711776
141	0.3397226
142	0.3132253
143	0.39493403
144	0.3441239
145	0.26724714
146	0.22829181
147	0.3554094
148	0.28612992
149	0.330426
150	0.34102395
151	0.38271084
152	0.39227936
153	0.3080868
154	0.318463
155	0.3770674
156	0.30433622
157	0.32031652
158	0.33154643
159	0.2985306
160	0.3656731
161	0.3456601
162	0.356037
163	0.38312313
164	0.30611026
165	0.33968785
166	0.2836413
167	0.33911586
168	0.30735174
169	0.30351272
170	0.21454822
171	0.33819887
172	0.39749962
173	0.3621262
174	0.31225848
175	0.40370813
176	0.42183688
177	0.3594314
178	0.35003847
179	0.3776272
180	0.4326969
181	0.38507554
182	0.3203811
183	0.31637552
184	0.3968922
185	0.34196237
186	0.39768165
187	0.29828373
188	0.4260626
189	0.3537273
190	0.34259212
191	0.25044003
192	0.27487177
193	0.42713103
194	0.33873197
195	0.3056448
196	0.30475548
197	0.40705606
198	0.36972898
199	0.40507695
200	0.30528796
201	0.3313497
202	0.2823745
203	0.30672777
204	0.3067766
205	0.36217886
206	0.29564553
207	0.3155432
208	0.3816427
209	0.35372216
210	0.3597457
211	0.3373314
212	0.3341131
213	0.33311597
214	0.31787798
215	0.3303305
216	0.3380875
217	0.35732058
218	0.32266727
219	0.26617703
220	0.34454286
221	0.25861353
222	0.37421116
223	0.29367605
224	0.473054
225	0.3810248
226	0.39789087
227	0.40672565
228	0.30616203
229	0.34952486
230	0.31096572
231	0.30784866
232	0.30022013
233	0.32101205
234	0.31912422
235	0.3869944
236	0.3557787
237	0.3214127
238	0.32530943
239	0.35606006
240	0.45175403
241	0.4383339
242	0.3669777
243	0.27799705
244	0.31716254
245	0.3655926
246	0.3350386
247	0.3472771
248	0.40173706
249	0.28815565
250	0.32057202
251	0.30367744
252	0.3324209
253	0.26598972
254	0.22572441
255	0.16092423
