letter	frequency
0	0.023130791
1	0.093483284
2	0.08008701
3	0.09828795
4	0.088773996
5	0.10868461
6	0.04710909
7	0.16646747
8	0.110556364
9	0.09445541
10	0.18543282
11	0.15196986
12	0.143046
13	0.105206326
14	0.1856597
15	0.17781892
16	0.10116331
17	0.19669163
18	0.19787017
19	0.19335203
20	0.14731523
21	0.179885
22	0.17194924
23	0.2059187
24	0.1179766
25	0.17646721
26	0.16471827
27	0.20676227
28	0.19027314
29	0.18845983
30	0.2177464
31	0.21904407
32	0.09753407
33	0.19665176
34	0.08881756
35	0.19809191
36	0.13837022
37	0.18328287
38	0.22463429
39	0.20463331
40	0.20550948
41	0.2098407
42	0.11801259
43	0.19314547
44	0.2263997
45	0.20862179
46	0.17177103
47	0.13037236
48	0.12536389
49	0.24359898
50	0.16534716
51	0.20063579
52	0.1485205
53	0.15141271
54	0.20474058
55	0.19524144
56	0.21949062
57	0.29673347
58	0.2809066
59	0.16834721
60	0.113627784
61	0.10701526
62	0.1268845
63	0.17207897
64	0.023898007
65	0.11969378
66	0.15523845
67	0.15100636
68	0.20190711
69	0.18046984
70	0.18240127
71	0.22028916
72	0.13433927
73	0.19586681
74	0.1716182
75	0.17778075
76	0.18213715
77	0.25307313
78	0.27001244
79	0.21054287
80	0.13003357
81	0.2123306
82	0.22707753
83	0.17030193
84	0.18396525
85	0.17864397
86	0.20108163
87	0.19266413
88	0.11972265
89	0.22622278
90	0.17349981
91	0.18900242
92	0.14496274
93	0.20952697
94	0.26236355
95	0.17841482
96	0.112244226
97	0.16952433
98	0.13850869
99	0.09916245
100	0.15834482
101	0.14697815
102	0.1477488
103	0.21809348
104	0.117501624
105	0.19378799
106	0.21252415
107	0.2362376
108	0.17538358
109	0.16551141
110	0.17502375
111	0.19684322
112	0.13546547
113	0.21653879
114	0.15513788
115	0.18460664
116	0.17753828
117	0.1535753
118	0.23056689
119	0.19144677
120	0.25205046
121	0.300231
122	0.30246273
123	0.18932106
124	0.23836142
125	0.21342388
126	0.2260634
127	0.20546629
128	0.042663198
129	0.07773392
130	0.050736766
131	0.07512678
132	0.14201272
133	0.10571967
134	0.081331626
135	0.19151688
136	0.15646808
137	0.13499334
138	0.16207695
139	0.13976955
140	0.13625221
141	0.15435998
142	0.15283293
143	0.19739471
144	0.1688971
145	0.10964271
146	0.17044815
147	0.2094366
148	0.13318308
149	0.12134303
150	0.16620396
151	0.2289283
152	0.18412323
153	0.2352983
154	0.18584733
155	0.22409588
156	0.19295043
157	0.22373228
158	0.19954813
159	0.21273808
160	0.06678525
161	0.17114142
162	0.21947943
163	0.22815067
164	0.17057718
165	0.22963281
166	0.22562023
167	0.31280318
168	0.17895058
169	0.13612674
170	0.22218594
171	0.20797169
172	0.12939727
173	0.15474337
174	0.23613937
175	0.2325
176	0.22959104
177	0.21451376
178	0.2085458
179	0.30272317
180	0.19588861
181	0.16382438
182	0.13415264
183	0.24809311
184	0.17522049
185	0.28094947
186	0.2072566
187	0.2349963
188	0.21937166
189	0.15067291
190	0.21495232
191	0.22191004
192	0.12620442
193	0.1877357
194	0.13515253
195	0.2213149
196	0.11551875
197	0.21778044
198	0.21595913
199	0.20407265
200	0.23396555
201	0.28902853
202	0.22231823
203	0.2875687
204	0.21159738
205	0.23882793
206	0.24313661
207	0.24214274
208	0.18301308
209	0.14732707
210	0.19293988
211	0.24454407
212	0.18536277
213	0.26919565
214	0.1698923
215	0.25615504
216	0.20497799
217	0.30792564
218	0.21674605
219	0.26204735
220	0.2677162
221	0.3089963
222	0.19497465
223	0.23714209
224	0.21515118
225	0.22185913
226	0.17528383
227	0.20726627
228	0.22899635
229	0.25673425
230	0.2318045
231	0.24269903
232	0.25396174
233	0.2638682
234	0.21595214
235	0.22629856
236	0.23814012
237	0.21994428
238	0.17704725
239	0.22718723
240	0.20150961
241	0.21047851
242	0.23295687
243	0.2838481
244	0.23194464
245	0.22331987
246	0.18181373
247	0.16793796
248	0.21098332
249	0.24342863
250	0.18573657
251	0.20336276
252	0.17930005
253	0.14543849
254	0.1647521
255	0.05137805
