letter	frequency
0	0.99998856
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	0.032866694
10	0.1307515
11	1
12	1
13	0.20862436
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	0.9999964
27	1
28	1
29	1
30	1
31	1
32	0.030540206
33	0.6463543
34	0.071511135
35	0.5515317
36	0.83931714
37	0.72358423
38	0.5356236
39	0.4452774
40	0.16092822
41	0.16157037
42	0.27700347
43	0.6350184
44	0.27751777
45	0.16784476
46	0.16412653
47	0.20275903
48	0.18291713
49	0.26124537
50	0.23405433
51	0.35349023
52	0.3809583
53	0.30815947
54	0.34362283
55	0.46548206
56	0.41244805
57	0.39991975
58	0.1508482
59	0.14193848
60	0.12372001
61	0.12026358
62	0.13143864
63	0.795673
64	0.929293
65	0.49316815
66	0.69381493
67	0.4837153
68	0.5578898
69	0.5411461
70	0.6215071
71	0.7418859
72	0.72788405
73	0.5537089
74	0.8841954
75	0.9061062
76	0.5798315
77	0.6038081
78	0.58149743
79	0.6163619
80	0.57297593
81	0.88641983
82	0.5650279
83	0.43213406
84	0.48160037
85	0.7300714
86	0.84351605
87	0.8072903
88	0.86801785
89	0.8752977
90	0.9300954
91	0.6586553
92	0.86239827
93	0.6587228
94	0.9664556
95	0.24106528
96	0.9978671
97	0.079601906
98	0.21326992
99	0.14641944
100	0.13163026
101	0.07354748
102	0.209569
103	0.20660734
104	0.17742598
105	0.107373096
106	0.61213565
107	0.39008638
108	0.13917457
109	0.19155416
110	0.1062669
111	0.10268561
112	0.17326683
113	0.7827247
114	0.10616524
115	0.12930787
116	0.07946107
117	0.19789352
118	0.25959018
119	0.27406746
120	0.2298179
121	0.2914929
122	0.6038615
123	0.15854762
124	0.68983114
125	0.15831983
126	0.9930344
127	1
128	0.9847741
129	0.9974968
130	0.9983261
131	0.99845564
132	0.9985239
133	0.99973184
134	0.9986999
135	0.9993231
136	0.99894506
137	0.999304
138	0.9993671
139	0.9988094
140	0.99869543
141	0.99949014
142	0.99771124
143	0.99875903
144	0.99915755
145	0.99970067
146	0.9993468
147	0.99719733
148	0.9988373
149	0.9987592
150	0.99818844
151	0.99936503
152	0.99820435
153	0.99411666
154	0.9987122
155	0.99889845
156	0.99635756
157	0.9970069
158	0.99968463
159	0.9995082
160	0.99828523
161	0.9986092
162	0.99875623
163	0.99829596
164	0.9984113
165	0.99860454
166	0.99799675
167	0.9994502
168	0.9986092
169	0.99335843
170	0.99849534
171	0.99875754
172	0.99941957
173	0.99906754
174	0.99889094
175	0.99877965
176	0.99905336
177	0.99912554
178	0.99876314
179	0.9986906
180	0.99948114
181	0.9990081
182	0.9991234
183	0.9990754
184	0.9966759
185	0.9979562
186	0.9982182
187	0.9954591
188	0.99899715
189	0.99834096
190	0.998687
191	0.99828285
192	0.9999999
193	0.9999999
194	0.9943991
195	0.992382
196	0.9995742
197	0.9998227
198	0.999991
199	1
200	0.99979013
201	1
202	0.9995772
203	0.9999999
204	0.9999999
205	1
206	0.9999962
207	0.9999999
208	0.9989731
209	0.99880296
210	1
211	1
212	1
213	0.9999999
214	0.9999999
215	1
216	0.99999714
217	0.99999934
218	0.9999999
219	0.9999999
220	1
221	1
222	1
223	0.9999359
224	0.99844944
225	0.999977
226	0.9845885
227	0.998367
228	0.99882895
229	0.9982202
230	0.9986036
231	0.99873275
232	0.99875736
233	0.99839103
234	0.9997597
235	0.9991779
236	0.99923635
237	0.99962527
238	0.9998739
239	0.9978715
240	0.9999999
241	1
242	1
243	0.9999999
244	0.9999148
245	0.9999999
246	0.9999999
247	1
248	0.99999744
249	0.9995772
250	1
251	1
252	0.99940413
253	0.9999999
254	1
255	1
