letter	frequency
0	0.13288961
1	0.097245775
2	0.08624136
3	0.096305594
4	0.09268054
5	0.091165416
6	0.092708975
7	0.091832206
8	0.10488805
9	0.092992276
10	0.09750151
11	0.09678617
12	0.09557494
13	0.095227994
14	0.094918534
15	0.08820709
16	0.09517926
17	0.08980366
18	0.09394419
19	0.09636929
20	0.09829237
21	0.09555985
22	0.097041234
23	0.09540412
24	0.08827329
25	0.09729545
26	0.099131525
27	0.09243982
28	0.09998001
29	0.09475864
30	0.09281553
31	0.08845963
32	0.0931036
33	0.07905195
34	0.07780625
35	0.09204776
36	0.0934365
37	0.09361289
38	0.09384363
39	0.097959675
40	0.10240794
41	0.08574884
42	0.09772835
43	0.0925036
44	0.09009334
45	0.10173996
46	0.09557707
47	0.07742893
48	0.10960504
49	0.090440154
50	0.11743468
51	0.10763043
52	0.10289921
53	0.10163528
54	0.10127942
55	0.097903855
56	0.09631362
57	0.09771588
58	0.0836379
59	0.09080717
60	0.098013066
61	0.10388195
62	0.10275331
63	0.08946959
64	0.09093373
65	0.11059118
66	0.100963406
67	0.106496565
68	0.098950624
69	0.10540026
70	0.10288655
71	0.09677162
72	0.09541583
73	0.10210621
74	0.094577484
75	0.09480437
76	0.094369724
77	0.10214713
78	0.1002411
79	0.097730696
80	0.09679493
81	0.094311066
82	0.098178186
83	0.09824405
84	0.102671295
85	0.08732759
86	0.09627518
87	0.09805846
88	0.10062286
89	0.08862399
90	0.08821971
91	0.09234722
92	0.09551404
93	0.09286208
94	0.083913565
95	0.09583442
96	0.098830655
97	0.08909591
98	0.108433664
99	0.09194583
100	0.09228421
101	0.092357494
102	0.11044867
103	0.106998906
104	0.10288384
105	0.09201619
106	0.09428881
107	0.094736375
108	0.09844569
109	0.07996739
110	0.09404881
111	0.09037565
112	0.080371246
113	0.08772506
114	0.095100395
115	0.080208115
116	0.101148315
117	0.08892521
118	0.09416382
119	0.09926618
120	0.083232515
121	0.097969085
122	0.090842545
123	0.0932308
124	0.089224145
125	0.08928115
126	0.09268557
127	0.09232111
128	0.09489819
129	0.090685
130	0.09755143
131	0.095460266
132	0.08118221
133	0.09338762
134	0.106062666
135	0.09877255
136	0.09629082
137	0.096860714
138	0.09645125
139	0.100072
140	0.086364135
141	0.090962656
142	0.09241087
143	0.09789826
144	0.09349311
145	0.09582955
146	0.094551675
147	0.09798886
148	0.0871899
149	0.10122845
150	0.09344137
151	0.09676136
152	0.09216493
153	0.103490226
154	0.09437243
155	0.09909343
156	0.09238422
157	0.09836017
158	0.092474416
159	0.09331757
160	0.095216796
161	0.10438814
162	0.0922479
163	0.09428493
164	0.08714767
165	0.09335594
166	0.09008294
167	0.09358976
168	0.08826465
169	0.097756565
170	0.08833097
171	0.0969821
172	0.0892324
173	0.092191026
174	0.09459703
175	0.09251629
176	0.09367459
177	0.09419458
178	0.089598574
179	0.09339036
180	0.09058486
181	0.089720674
182	0.089826964
183	0.09045702
184	0.094754815
185	0.09775522
186	0.09606734
187	0.09708497
188	0.09505863
189	0.08795617
190	0.092963226
191	0.09004503
192	0.09588913
193	0.08966497
194	0.08867754
195	0.09478053
196	0.09215007
197	0.098386094
198	0.08565609
199	0.09110521
200	0.09405414
201	0.10162818
202	0.089849785
203	0.09385412
204	0.08735481
205	0.09726406
206	0.088567205
207	0.09142434
208	0.09201118
209	0.09600566
210	0.08854903
211	0.093950786
212	0.08996029
213	0.09947114
214	0.08503078
215	0.09198088
216	0.09044019
217	0.09372304
218	0.09214804
219	0.08521681
220	0.097654
221	0.091910474
222	0.090440385
223	0.08245061
224	0.08936828
225	0.09602189
226	0.09352683
227	0.094353944
228	0.09435893
229	0.09149138
230	0.092008226
231	0.08649241
232	0.097836666
233	0.09375502
234	0.09400969
235	0.08567896
236	0.09397726
237	0.092183836
238	0.09732426
239	0.08596882
240	0.092364386
241	0.09622056
242	0.09503567
243	0.090466075
244	0.08985183
245	0.08681079
246	0.0923723
247	0.09078225
248	0.0905755
249	0.090731174
250	0.093817145
251	0.08425119
252	0.09523563
253	0.09004038
254	0.09284428
255	0.09084235
