letter	frequency
0	0.036056172
1	0.17646717
2	0.19083907
3	0.25373513
4	0.2580566
5	0.21584015
6	0.21776962
7	0.24294554
8	0.22400409
9	0.20149662
10	0.28068855
11	0.22734895
12	0.2412253
13	0.222111
14	0.17403382
15	0.24620874
16	0.19394897
17	0.2549858
18	0.2321778
19	0.19529639
20	0.21290919
21	0.21390352
22	0.23396279
23	0.24246335
24	0.23219328
25	0.24378538
26	0.21068467
27	0.16021705
28	0.17227332
29	0.1762321
30	0.24964
31	0.26749834
32	0.18062556
33	0.23257488
34	0.23800582
35	0.19952063
36	0.19508559
37	0.22991951
38	0.24428675
39	0.24320845
40	0.22545134
41	0.25887346
42	0.16029494
43	0.22130515
44	0.1633439
45	0.17646387
46	0.24074006
47	0.20691329
48	0.22005232
49	0.22094707
50	0.20650132
51	0.22172335
52	0.20795795
53	0.24198368
54	0.17080793
55	0.18448105
56	0.18535307
57	0.22917895
58	0.17422163
59	0.23883758
60	0.21101071
61	0.20520206
62	0.2401762
63	0.2442391
64	0.25690266
65	0.24215095
66	0.24956016
67	0.2205375
68	0.18377045
69	0.20913073
70	0.18537818
71	0.22145812
72	0.22022422
73	0.19778563
74	0.2491909
75	0.17190479
76	0.19595031
77	0.22335562
78	0.23425967
79	0.2352938
80	0.25931323
81	0.25121334
82	0.21954961
83	0.18628089
84	0.15853387
85	0.15438469
86	0.17742342
87	0.20086673
88	0.21277836
89	0.1519898
90	0.16924654
91	0.13178736
92	0.23195234
93	0.23000282
94	0.1983223
95	0.23077442
96	0.22788297
97	0.23195316
98	0.22347829
99	0.21440937
100	0.21288891
101	0.13835679
102	0.15265918
103	0.17665301
104	0.2613201
105	0.20068829
106	0.18375221
107	0.19793896
108	0.15184157
109	0.13984554
110	0.15633588
111	0.15881036
112	0.16042168
113	0.22482537
114	0.19715586
115	0.18922038
116	0.15837957
117	0.17565584
118	0.17390862
119	0.2205374
120	0.20839669
121	0.15342611
122	0.22259939
123	0.16287889
124	0.23659384
125	0.2218548
126	0.193664
127	0.13336927
128	0.220618
129	0.23686065
130	0.21764064
131	0.24541153
132	0.20016123
133	0.25581262
134	0.2140965
135	0.21602073
136	0.23133418
137	0.23920156
138	0.2170703
139	0.23421197
140	0.21208113
141	0.14099972
142	0.17049588
143	0.22502455
144	0.17378385
145	0.22230434
146	0.1470347
147	0.1932634
148	0.22229242
149	0.13586104
150	0.14458545
151	0.15715009
152	0.2231495
153	0.16350794
154	0.2235741
155	0.15415119
156	0.211523
157	0.2280596
158	0.18108232
159	0.20857069
160	0.25121284
161	0.23607115
162	0.22135411
163	0.22195913
164	0.18944748
165	0.20998868
166	0.17653587
167	0.21688843
168	0.2557994
169	0.16182972
170	0.15100512
171	0.15277827
172	0.19831887
173	0.12453111
174	0.18169099
175	0.19807594
176	0.23926708
177	0.15055776
178	0.15723854
179	0.14523755
180	0.19303246
181	0.11712371
182	0.13397653
183	0.15179601
184	0.20480828
185	0.16042274
186	0.17431088
187	0.1760782
188	0.14943267
189	0.14071815
190	0.18739584
191	0.12621096
192	0.24456553
193	0.20608123
194	0.25352448
195	0.20596223
196	0.21292424
197	0.17430608
198	0.12713827
199	0.14762048
200	0.2183623
201	0.13575055
202	0.18636218
203	0.14875676
204	0.17973596
205	0.15400848
206	0.19509251
207	0.17098962
208	0.25344
209	0.23745103
210	0.22531922
211	0.2113851
212	0.2105772
213	0.13799745
214	0.14930274
215	0.16759181
216	0.2060985
217	0.14860266
218	0.15293685
219	0.13211386
220	0.18174386
221	0.19712281
222	0.14891817
223	0.12951404
224	0.18389674
225	0.18801548
226	0.2104919
227	0.13027953
228	0.21429381
229	0.124567576
230	0.14191377
231	0.21260513
232	0.22235033
233	0.21757582
234	0.18493026
235	0.24616723
236	0.17599739
237	0.13281237
238	0.22654578
239	0.13172555
240	0.20058396
241	0.123719126
242	0.13796943
243	0.19621423
244	0.23784108
245	0.19134173
246	0.17239402
247	0.1459465
248	0.14641462
249	0.18199155
250	0.19959004
251	0.15025356
252	0.1617372
253	0.13184854
254	0.13122274
255	0.075533755
