letter	frequency
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	0.8411242
10	0.32065812
11	1
12	1
13	0.064174876
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	0.21411985
33	0.97137886
34	0.30764598
35	0.980064
36	1
37	0.9986349
38	0.963214
39	0.5820654
40	0.7312207
41	0.73500764
42	1.2748572e-7
43	0.80511206
44	0.3008411
45	0.17899087
46	0.28029835
47	0.35798463
48	0.46382323
49	0.47296125
50	0.46483204
51	0.45683435
52	0.4788211
53	0.46784666
54	0.49613455
55	0.37429458
56	0.47046182
57	0.5057086
58	0.38557187
59	0.9121357
60	0.34193558
61	0.1672051
62	0.31485623
63	0.9925361
64	0.17133668
65	0.5761227
66	0.7028912
67	0.27459508
68	0.24460457
69	0.45782888
70	0.5041452
71	0.7600112
72	0.78057736
73	0.57555526
74	0.7488421
75	0.95896184
76	0.50202745
77	0.4896285
78	0.5223899
79	0.45426148
80	0.47849494
81	0.978042
82	0.46107256
83	0.24267356
84	0.32692045
85	0.87590796
86	0.89736426
87	0.90509856
88	0.8858646
89	0.72654235
90	0.9367251
91	0.81154126
92	0.88638747
93	0.81154126
94	0.99999094
95	0.22711131
96	1
97	0.26392567
98	0.30216232
99	0.37233144
100	0.2966443
101	0.18678978
102	0.21838097
103	0.3148335
104	0.34125116
105	0.3463132
106	0.7583203
107	0.45733222
108	0.31319502
109	0.49066922
110	0.2857971
111	0.28206837
112	0.3690853
113	0.9197406
114	0.030857699
115	0.33381477
116	0.30768993
117	0.42871156
118	0.29952264
119	0.71613413
120	0.69587183
121	0.23296061
122	0.9612707
123	0.97888625
124	0.81520647
125	0.97888625
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	0.94442964
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	0.84193134
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	0.9998828
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
