letter	frequency
0	8.9398326e-32
1	0.017178874
2	0.010577213
3	0.11783357
4	0.17776036
5	0.29267728
6	0.47261846
7	0.54039264
8	0.6396928
9	0.5478787
10	0.67754173
11	0.69013745
12	0.6517732
13	0.68104035
14	0.64039063
15	0.7245525
16	0.6767148
17	0.6599255
18	0.72707975
19	0.65246373
20	0.6624226
21	0.71233493
22	0.5945205
23	0.67858374
24	0.60934263
25	0.72072196
26	0.72831404
27	0.59943163
28	0.68645227
29	0.69672304
30	0.7240301
31	0.6079553
32	0.5582578
33	0.6737818
34	0.6100717
35	0.69621253
36	0.61024284
37	0.64066464
38	0.7470711
39	0.70872974
40	0.6960223
41	0.7548657
42	0.7476089
43	0.7868753
44	0.57799625
45	0.7472185
46	0.7661962
47	0.74587995
48	0.70656514
49	0.72237533
50	0.7462519
51	0.75540024
52	0.69741094
53	0.79529345
54	0.69796985
55	0.81543547
56	0.71545094
57	0.8011272
58	0.8187223
59	0.74479336
60	0.728921
61	0.766007
62	0.7445408
63	0.63460153
64	0.67292905
65	0.68481266
66	0.65213066
67	0.7076708
68	0.61805075
69	0.66994137
70	0.658956
71	0.6457551
72	0.7034166
73	0.7539406
74	0.70844567
75	0.7348769
76	0.7011108
77	0.8325979
78	0.7568629
79	0.77806836
80	0.7523802
81	0.79839635
82	0.7662529
83	0.84440416
84	0.73600507
85	0.84260535
86	0.74351144
87	0.8289402
88	0.7470154
89	0.7544344
90	0.75485045
91	0.7946865
92	0.76904297
93	0.8383177
94	0.71959937
95	0.8387316
96	0.70816064
97	0.76158047
98	0.7796833
99	0.7265478
100	0.7805582
101	0.740465
102	0.7728164
103	0.7793852
104	0.74042076
105	0.783331
106	0.632251
107	0.7745392
108	0.75844234
109	0.68642026
110	0.7635206
111	0.678406
112	0.7460882
113	0.7434937
114	0.65168816
115	0.7204223
116	0.6051503
117	0.67262745
118	0.6325903
119	0.56552625
120	0.5898852
121	0.43089578
122	0.42353213
123	0.32507738
124	0.14925672
125	0.11447699
126	0.06180255
127	5.8615033e-8
128	0.008171143
129	0.19249082
130	0.20982069
131	0.22070314
132	0.40248176
133	0.40930635
134	0.448363
135	0.5383604
136	0.5128754
137	0.63270307
138	0.5976362
139	0.63812953
140	0.69924796
141	0.58224946
142	0.72775084
143	0.6654999
144	0.729842
145	0.75721776
146	0.69200796
147	0.77036476
148	0.7311657
149	0.7380613
150	0.6901788
151	0.67585874
152	0.76746917
153	0.7424088
154	0.75405985
155	0.76524526
156	0.7168759
157	0.7552185
158	0.6944577
159	0.76604825
160	0.8472715
161	0.7346089
162	0.83947796
163	0.72954965
164	0.8453527
165	0.7660275
166	0.8132815
167	0.7599562
168	0.7606056
169	0.7287172
170	0.8394697
171	0.7366865
172	0.8469526
173	0.7272051
174	0.84237456
175	0.7503046
176	0.79955846
177	0.7562985
178	0.8018263
179	0.7590048
180	0.8526992
181	0.65459174
182	0.84348774
183	0.74193156
184	0.83327156
185	0.74235666
186	0.76776177
187	0.7579798
188	0.8158825
189	0.76094013
190	0.84561574
191	0.654612
192	0.85253185
193	0.67026764
194	0.8516758
195	0.7628649
196	0.8069811
197	0.8401995
198	0.81067735
199	0.7576925
200	0.82945406
201	0.8188927
202	0.8407943
203	0.7765327
204	0.84381884
205	0.8324395
206	0.82365763
207	0.84703547
208	0.8014281
209	0.8273606
210	0.85208833
211	0.8289568
212	0.75492686
213	0.77962834
214	0.83939534
215	0.83563554
216	0.80482554
217	0.8360274
218	0.8042398
219	0.83744645
220	0.8196138
221	0.80678976
222	0.8294447
223	0.8120962
224	0.83709997
225	0.74288106
226	0.8205505
227	0.8489822
228	0.8073982
229	0.83945733
230	0.7647585
231	0.8431124
232	0.8372452
233	0.8001926
234	0.84398615
235	0.82452375
236	0.80491644
237	0.83534485
238	0.7493841
239	0.8171246
240	0.7577921
241	0.7949694
242	0.78290087
243	0.6993064
244	0.7150095
245	0.6876119
246	0.6917553
247	0.65663385
248	0.49672192
249	0.47931176
250	0.33504522
251	0.2279449
252	0.16550066
253	0.013520291
254	0.024986576
255	2.5369895e-14
