letter	frequency
0	0.2518351
1	0.23665333
2	0.0828573
3	0.091117956
4	0.18737482
5	0.07068036
6	0.0044091265
7	0.076704375
8	0.16882984
9	0.15246274
10	0.04718436
11	0.025099317
12	0.07817461
13	0.0673253
14	0.018741349
15	0.16282992
16	0.07101151
17	0.044384003
18	0.275142
19	0.06813222
20	0.17846818
21	0.11127793
22	0.04336128
23	0.06390351
24	0.11712625
25	0.08175493
26	0.117168844
27	0.08875883
28	0.18374433
29	0.10347024
30	0.00064017286
31	0.005006838
32	0.106673546
33	0.015196589
34	0.18334103
35	0.15099673
36	0.07636111
37	0.17684586
38	0.18195091
39	0.086793035
40	0.17737313
41	0.16357373
42	0.11753439
43	0.14055316
44	0.20079513
45	0.038953993
46	0.05460908
47	0.0042308825
48	0.03313261
49	0.28243032
50	0.14040554
51	0.17149669
52	0.19058804
53	0.22763793
54	0.065202825
55	0.063979946
56	0.117321335
57	0.17771642
58	0.22143805
59	0.21149391
60	0.17406207
61	0.15950054
62	0.046074003
63	0.0029546155
64	0.08954641
65	0.015023936
66	0.0802756
67	0.08866543
68	0.23434798
69	0.09397403
70	0.07789182
71	0.06071808
72	0.17387874
73	0.12316353
74	0.19731571
75	0.18319423
76	0.14072898
77	0.13100494
78	0.08340061
79	0.04494754
80	0.16481532
81	0.2317484
82	0.27634495
83	0.17270882
84	0.06919309
85	0.22572602
86	0.2314228
87	0.16895592
88	0.15398824
89	0.25438878
90	0.20224835
91	0.23543866
92	0.20571135
93	0.20778286
94	0.18073012
95	0.000070549715
96	0.05956055
97	0.0027625076
98	0.041737244
99	0.005326576
100	0.038482327
101	0.007647717
102	0.0833086
103	0.032045778
104	0.21530606
105	0.015110985
106	0.24102448
107	0.029333895
108	0.07072566
109	0.038106155
110	0.0027998558
111	0.006926968
112	0.0036547193
113	0.1586981
114	0.033811707
115	0.03295793
116	0.12953685
117	0.0091779195
118	0.14238723
119	0.031613912
120	0.018291144
121	0.13769658
122	0.14314616
123	0.07956883
124	0.14596581
125	0.19031464
126	0.10043097
127	0.011421817
128	0.07575683
129	0.081180714
130	0.10812906
131	0.13396563
132	0.20884715
133	0.033149865
134	0.18145686
135	0.09195014
136	0.14488427
137	0.14827672
138	0.24336857
139	0.061772566
140	0.2896702
141	0.07024539
142	0.19179638
143	0.075061
144	0.17990303
145	0.10451901
146	0.24560513
147	0.16264133
148	0.34241906
149	0.18042326
150	0.26560783
151	0.17093186
152	0.12297276
153	0.22102964
154	0.18531169
155	0.09642761
156	0.26108164
157	0.1605783
158	0.12034645
159	0.00798575
160	0.0797416
161	0.14363876
162	0.12897146
163	0.15557523
164	0.2662895
165	0.11475602
166	0.27910995
167	0.1855303
168	0.12368193
169	0.063660316
170	0.17686652
171	0.1234018
172	0.19126165
173	0.14598949
174	0.16226444
175	0.09553495
176	0.077322334
177	0.09491565
178	0.24232097
179	0.14957888
180	0.25169125
181	0.06939959
182	0.23066463
183	0.042085767
184	0.16497974
185	0.18655966
186	0.14802904
187	0.15804513
188	0.16133052
189	0.17386866
190	0.09788773
191	0.008919167
192	0.14673871
193	0.1313451
194	0.1397362
195	0.15297821
196	0.1287666
197	0.12240666
198	0.19340052
199	0.13776423
200	0.12726712
201	0.28166285
202	0.27815267
203	0.21055841
204	0.19339715
205	0.15033646
206	0.10274326
207	0.084483065
208	0.038410906
209	0.14259395
210	0.28135118
211	0.15658124
212	0.21321352
213	0.1452294
214	0.14716132
215	0.10790659
216	0.28501338
217	0.20143825
218	0.20920758
219	0.22011901
220	0.17797542
221	0.22241406
222	0.09235039
223	0.013892256
224	0.067157336
225	0.05110384
226	0.17979507
227	0.13677771
228	0.20200938
229	0.2482199
230	0.20694542
231	0.17614083
232	0.1673642
233	0.28989637
234	0.19677983
235	0.10767122
236	0.024983695
237	0.08731511
238	0.20350039
239	0.013207781
240	0.064105555
241	0.109706305
242	0.26757726
243	0.24482988
244	0.2999452
245	0.21682148
246	0.16738987
247	0.19468738
248	0.19159092
249	0.29757005
250	0.34337065
251	0.22438885
252	0.20894909
253	0.03358921
254	0.013276871
255	0.15573926
