letter	frequency
0	1
1	1
2	1
3	0.99998593
4	1
5	1
6	1
7	1
8	1
9	0.08080703
10	0.3295107
11	0.9999218
12	0.99999326
13	0.2123638
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	0.9999989
29	0.99999934
30	1
31	1
32	0.4290084
33	0.7834039
34	0.24237707
35	0.8205782
36	0.9415177
37	0.7594862
38	0.74585444
39	0.49269688
40	0.6896036
41	0.68991995
42	0.8311184
43	0.8680532
44	0.5800137
45	0.18611223
46	0.34322816
47	0.23238994
48	0.44778216
49	0.48824355
50	0.42381734
51	0.6331007
52	0.6765508
53	0.647012
54	0.7066489
55	0.6995031
56	0.67206633
57	0.67339927
58	0.5084442
59	0.54339117
60	0.27645645
61	0.35518378
62	0.27658692
63	0.8397918
64	0.9528375
65	0.6920799
66	0.81540304
67	0.7092883
68	0.7692962
69	0.73802555
70	0.7996068
71	0.8475635
72	0.865825
73	0.7253173
74	0.89244455
75	0.92531925
76	0.7729086
77	0.7839143
78	0.8116217
79	0.83172446
80	0.7843446
81	0.92215604
82	0.8135229
83	0.68831265
84	0.7617362
85	0.8561446
86	0.9125072
87	0.874111
88	0.9352758
89	0.9168266
90	0.9325695
91	0.8813586
92	0.734836
93	0.88164884
94	0.9968494
95	0.4761319
96	0.9991416
97	0.17480579
98	0.42020655
99	0.25534856
100	0.2694417
101	0.13555197
102	0.4159137
103	0.42682555
104	0.30575997
105	0.17574953
106	0.61103123
107	0.57479924
108	0.23957436
109	0.3057991
110	0.22251341
111	0.22184522
112	0.3120474
113	0.8511395
114	0.23683481
115	0.16036399
116	0.1683241
117	0.33340415
118	0.3713517
119	0.48077956
120	0.57556826
121	0.47232276
122	0.8412078
123	0.8382182
124	0.8767786
125	0.83806896
126	0.99393326
127	1
128	0.9500221
129	0.98261845
130	0.9843536
131	0.9854444
132	0.9893184
133	0.9896127
134	0.99153656
135	0.990963
136	0.9885388
137	0.9915246
138	0.9902742
139	0.990753
140	0.989213
141	0.9923883
142	0.9940468
143	0.9907362
144	0.99148214
145	0.9926147
146	0.9921423
147	0.98872405
148	0.98820764
149	0.99029297
150	0.9910793
151	0.9900604
152	0.99356836
153	0.9778923
154	0.9921228
155	0.99322414
156	0.98648816
157	0.98994493
158	0.9945142
159	0.9929806
160	0.96161157
161	0.9876467
162	0.99010795
163	0.99267775
164	0.988977
165	0.99025065
166	0.98972255
167	0.9872131
168	0.9881103
169	0.9808355
170	0.98796326
171	0.99258286
172	0.9932735
173	0.98620987
174	0.9908253
175	0.9905337
176	0.98751754
177	0.9880345
178	0.9913436
179	0.9857124
180	0.99060625
181	0.9889146
182	0.991997
183	0.99190646
184	0.9819624
185	0.987024
186	0.9873095
187	0.98805404
188	0.9870156
189	0.9897014
190	0.98943454
191	0.9906396
192	0.99936956
193	0.9990334
194	0.9643329
195	0.96516657
196	0.9968615
197	0.996463
198	0.99912196
199	0.9989019
200	0.99904364
201	0.9988346
202	0.99879795
203	0.99910146
204	0.9989608
205	0.9986974
206	0.997399
207	0.9992033
208	0.9908349
209	0.99246264
210	0.9989401
211	0.999309
212	0.9990748
213	0.9992618
214	0.9992692
215	0.9983737
216	0.9944427
217	0.9963381
218	0.9983173
219	0.99840444
220	0.99920815
221	0.9994601
222	0.9995263
223	0.9995744
224	0.9934022
225	0.9971528
226	0.9601889
227	0.9841306
228	0.99028707
229	0.9868749
230	0.9863854
231	0.98874706
232	0.99007803
233	0.99014175
234	0.99867237
235	0.9984948
236	0.9979776
237	0.99795395
238	0.9995224
239	0.993666
240	0.9992812
241	0.99898916
242	0.9993484
243	0.99888295
244	0.99971616
245	0.9995822
246	0.9996643
247	0.9995609
248	0.9993868
249	0.9995635
250	0.999209
251	0.9994347
252	0.9992318
253	0.9996614
254	0.99975836
255	0.9999999
