letter	frequency
0	0.23297164
1	0.13354327
2	0.12722763
3	0.14377207
4	0.17249423
5	0.14943944
6	0.14798452
7	0.13825339
8	0.15511408
9	0.11840406
10	0.12720533
11	0.13613929
12	0.14805396
13	0.1331294
14	0.15208463
15	0.12148318
16	0.15617403
17	0.14193255
18	0.12235129
19	0.123394236
20	0.12338625
21	0.12560351
22	0.11953506
23	0.12218605
24	0.15236636
25	0.13102494
26	0.13606024
27	0.1408305
28	0.13031508
29	0.123178706
30	0.11613603
31	0.14674309
32	0.14695847
33	0.11530552
34	0.0992764
35	0.1033675
36	0.106445216
37	0.10490358
38	0.099640094
39	0.108899534
40	0.11926237
41	0.10202815
42	0.10366247
43	0.12627594
44	0.120059855
45	0.100598656
46	0.10658988
47	0.13974679
48	0.15329595
49	0.14044538
50	0.1210667
51	0.114291586
52	0.1338353
53	0.12396898
54	0.1218393
55	0.13017735
56	0.16070892
57	0.1266855
58	0.11816956
59	0.10879493
60	0.104244545
61	0.12682286
62	0.14052013
63	0.12685566
64	0.14861563
65	0.113055035
66	0.14183106
67	0.12560424
68	0.12820329
69	0.103918314
70	0.1112045
71	0.112050086
72	0.11155444
73	0.11177665
74	0.105610415
75	0.11919687
76	0.11062227
77	0.104301855
78	0.11572419
79	0.10701051
80	0.11076329
81	0.09906933
82	0.10287137
83	0.11149454
84	0.10053028
85	0.11238528
86	0.09589586
87	0.12209981
88	0.12994766
89	0.12278968
90	0.13134474
91	0.10916519
92	0.09850457
93	0.10438675
94	0.1287726
95	0.15516847
96	0.12230875
97	0.13690875
98	0.13532269
99	0.14709666
100	0.11657995
101	0.114312105
102	0.13772167
103	0.12721455
104	0.13465336
105	0.13655889
106	0.11580911
107	0.11597726
108	0.13252161
109	0.123911254
110	0.118068956
111	0.13906968
112	0.13664244
113	0.10297445
114	0.11339281
115	0.12187634
116	0.13856795
117	0.100654125
118	0.10873246
119	0.13616444
120	0.11675455
121	0.10634339
122	0.1132986
123	0.14013515
124	0.13704298
125	0.121770844
126	0.13368504
127	0.120834574
128	0.13165791
129	0.14327937
130	0.13729244
131	0.14028491
132	0.14036225
133	0.120889075
134	0.11052065
135	0.11400537
136	0.10691919
137	0.112923555
138	0.09870534
139	0.12070374
140	0.11226962
141	0.11706139
142	0.114919975
143	0.11501361
144	0.10984629
145	0.107353956
146	0.1027361
147	0.1006859
148	0.09357314
149	0.12817064
150	0.11177672
151	0.09479688
152	0.14039174
153	0.12563612
154	0.09761031
155	0.107716426
156	0.13221768
157	0.10757189
158	0.10533339
159	0.12557842
160	0.13543274
161	0.13638017
162	0.11663204
163	0.109169744
164	0.10296182
165	0.11608538
166	0.10436139
167	0.10181959
168	0.115578994
169	0.110795975
170	0.10790764
171	0.12175838
172	0.11048438
173	0.12786897
174	0.10466511
175	0.120493494
176	0.13236822
177	0.13984916
178	0.12014904
179	0.1435081
180	0.111713946
181	0.112350516
182	0.12992243
183	0.13815278
184	0.092521
185	0.10958609
186	0.100741744
187	0.13070786
188	0.1193876
189	0.11795668
190	0.13766998
191	0.14147754
192	0.13176765
193	0.12871316
194	0.12664495
195	0.118796766
196	0.1303829
197	0.12299043
198	0.11230723
199	0.13070987
200	0.10866567
201	0.105451845
202	0.102266684
203	0.12700906
204	0.1388235
205	0.13047673
206	0.10453353
207	0.11715059
208	0.15024532
209	0.12752359
210	0.11832635
211	0.12244534
212	0.11788972
213	0.12592539
214	0.11615703
215	0.11627314
216	0.14192754
217	0.11490317
218	0.11651878
219	0.14179707
220	0.118352264
221	0.12571223
222	0.12100312
223	0.14073743
224	0.14483167
225	0.12401273
226	0.1206533
227	0.119221665
228	0.11738229
229	0.12159929
230	0.13330716
231	0.10977636
232	0.120103896
233	0.11405536
234	0.0870516
235	0.112972535
236	0.133558
237	0.12897037
238	0.122229844
239	0.13697125
240	0.13949072
241	0.121724434
242	0.09997954
243	0.14170837
244	0.10571941
245	0.12573561
246	0.117449254
247	0.14102578
248	0.1497917
249	0.13930662
250	0.12498348
251	0.14221218
252	0.12872191
253	0.1603012
254	0.13920356
255	0.13566883
