letter	frequency
0	0.15008883
1	0.037561852
2	0.031728562
3	0.038562715
4	0.05723216
5	0.06787677
6	0.06723046
7	0.06419028
8	0.064818606
9	0.07109863
10	0.07942552
11	0.08707444
12	0.093894646
13	0.105567336
14	0.12296156
15	0.14022323
16	0.09655338
17	0.099988535
18	0.10570554
19	0.10960601
20	0.11465071
21	0.12143799
22	0.12180172
23	0.13470599
24	0.13756408
25	0.14669937
26	0.15578404
27	0.16542716
28	0.17862879
29	0.18946916
30	0.2010887
31	0.21843323
32	0.13303335
33	0.15177861
34	0.149661
35	0.14662288
36	0.16363658
37	0.17195116
38	0.16288544
39	0.18738502
40	0.19580555
41	0.19248371
42	0.19934162
43	0.21701582
44	0.21980488
45	0.2262326
46	0.24885365
47	0.25137165
48	0.17063093
49	0.15891021
50	0.1777189
51	0.18374999
52	0.17010783
53	0.19376442
54	0.19589643
55	0.18420957
56	0.20604031
57	0.2060029
58	0.20934017
59	0.21824017
60	0.22505763
61	0.22649768
62	0.24085021
63	0.24049306
64	0.16046253
65	0.14647786
66	0.16685328
67	0.17040804
68	0.15364048
69	0.1725401
70	0.17609832
71	0.16822124
72	0.17178541
73	0.18333681
74	0.1895514
75	0.19044909
76	0.19084556
77	0.19932821
78	0.19784129
79	0.20621078
80	0.13247043
81	0.13532346
82	0.12405495
83	0.13691077
84	0.13705526
85	0.12963207
86	0.14446361
87	0.14170733
88	0.14394133
89	0.14865617
90	0.14620568
91	0.15707017
92	0.15400937
93	0.15402111
94	0.15971363
95	0.16416796
96	0.10572724
97	0.10349616
98	0.105322346
99	0.108584866
100	0.10322354
101	0.10878501
102	0.10851536
103	0.11306417
104	0.111749366
105	0.111762896
106	0.116522804
107	0.11166443
108	0.11745143
109	0.11869981
110	0.11629055
111	0.1241524
112	0.07787796
113	0.07826181
114	0.07783769
115	0.08241805
116	0.08071906
117	0.078098275
118	0.07711473
119	0.07771574
120	0.07964982
121	0.08208501
122	0.081253596
123	0.08210546
124	0.08021273
125	0.08236115
126	0.08250667
127	0.041230224
128	0.062479574
129	0.020604316
130	0.023389136
131	0.025294498
132	0.030290116
133	0.035966955
134	0.04150619
135	0.049508117
136	0.05264216
137	0.06303887
138	0.070971064
139	0.0860136
140	0.101089895
141	0.11463034
142	0.1310246
143	0.14564492
144	0.09979279
145	0.109905995
146	0.11640282
147	0.123168334
148	0.13553569
149	0.14409763
150	0.1506972
151	0.16913721
152	0.1713351
153	0.18884231
154	0.19915667
155	0.21349283
156	0.22996509
157	0.23916893
158	0.2551031
159	0.27531454
160	0.17538735
161	0.19059259
162	0.2013264
163	0.1962339
164	0.21860263
165	0.2259934
166	0.22141102
167	0.2468729
168	0.25811225
169	0.26280332
170	0.26659492
171	0.29318336
172	0.29904595
173	0.30365008
174	0.32870293
175	0.3344223
176	0.22583897
177	0.2108893
178	0.23700842
179	0.250576
180	0.24245529
181	0.26143193
182	0.2636162
183	0.25272518
184	0.28401002
185	0.28016356
186	0.29114324
187	0.30871898
188	0.30640242
189	0.32445025
190	0.35198477
191	0.35743323
192	0.24555059
193	0.23597741
194	0.26182896
195	0.26945835
196	0.26395702
197	0.28758037
198	0.3074054
199	0.3086482
200	0.33271128
201	0.35334018
202	0.37571248
203	0.39431843
204	0.41857177
205	0.456564
206	0.49097604
207	0.5523478
208	0.3950144
209	0.43520913
210	0.47611156
211	0.54750085
212	0.6217639
213	0.6723088
214	0.7602246
215	0.80327284
216	0.84374046
217	0.8436738
218	0.8109997
219	0.76514286
220	0.666285
221	0.5814213
222	0.49582443
223	0.42165273
224	0.23804541
225	0.21531077
226	0.20824794
227	0.19980016
228	0.1808345
229	0.18223797
230	0.17111027
231	0.16691895
232	0.16446081
233	0.16226074
234	0.16260849
235	0.16103086
236	0.175508
237	0.15466928
238	0.15001395
239	0.14744002
240	0.089070566
241	0.09316389
242	0.08782114
243	0.092572466
244	0.08908184
245	0.08701927
246	0.08775572
247	0.08812243
248	0.08778849
249	0.08680678
250	0.08521104
251	0.08209743
252	0.085846804
253	0.08163055
254	0.08305275
255	0.05446736
