letter	frequency
0	0.9620023
1	0.54555964
2	0.38376346
3	0.4381262
4	0.38484976
5	0.34797442
6	0.34288213
7	0.38713294
8	0.34460953
9	0.3326484
10	0.3355455
11	0.31573713
12	0.38127288
13	0.33378717
14	0.33457467
15	0.3351557
16	0.3013219
17	0.36409095
18	0.3313961
19	0.30798408
20	0.37983036
21	0.36549073
22	0.31761122
23	0.3054611
24	0.3589281
25	0.35478178
26	0.34276825
27	0.3319309
28	0.37633872
29	0.34454113
30	0.3594421
31	0.36361846
32	0.4877341
33	0.30588436
34	0.33673432
35	0.3813713
36	0.38999057
37	0.32810235
38	0.309075
39	0.35545695
40	0.3519347
41	0.34080666
42	0.358131
43	0.35831687
44	0.3349074
45	0.34861758
46	0.3430034
47	0.30514973
48	0.31728497
49	0.37361014
50	0.44686642
51	0.3342887
52	0.36183587
53	0.36389005
54	0.35224602
55	0.32967833
56	0.36733583
57	0.37766615
58	0.36096367
59	0.33901283
60	0.366569
61	0.35866272
62	0.34523934
63	0.3590275
64	0.3119099
65	0.34150338
66	0.31162137
67	0.3309888
68	0.2907287
69	0.37289384
70	0.3882762
71	0.36775818
72	0.35520947
73	0.4069019
74	0.35125557
75	0.34595665
76	0.29267603
77	0.34869367
78	0.33908716
79	0.3652373
80	0.32123882
81	0.3666942
82	0.37000102
83	0.3404003
84	0.35018343
85	0.3627035
86	0.36631402
87	0.35895076
88	0.34079495
89	0.33933222
90	0.3736627
91	0.35634187
92	0.34410924
93	0.3335661
94	0.32915038
95	0.3131995
96	0.29273063
97	0.32271945
98	0.32145095
99	0.39444765
100	0.36726224
101	0.37077534
102	0.32912418
103	0.35338542
104	0.33459002
105	0.40843993
106	0.35946962
107	0.3817642
108	0.3233542
109	0.38987914
110	0.3817581
111	0.3626437
112	0.3466622
113	0.39069322
114	0.37307423
115	0.39044255
116	0.35916162
117	0.37627572
118	0.35672072
119	0.35323966
120	0.36831087
121	0.3537583
122	0.3443164
123	0.35071808
124	0.3120476
125	0.33305708
126	0.318892
127	0.3504684
128	0.31407586
129	0.3093771
130	0.32528642
131	0.30986202
132	0.28119203
133	0.31374145
134	0.32681143
135	0.30322984
136	0.29771864
137	0.30918714
138	0.38300732
139	0.30036837
140	0.37086096
141	0.34954107
142	0.3801109
143	0.3567337
144	0.31903344
145	0.3663706
146	0.39055723
147	0.3523761
148	0.31703067
149	0.36561832
150	0.36193636
151	0.32897687
152	0.29707327
153	0.3140405
154	0.36958945
155	0.3108879
156	0.33435208
157	0.3222327
158	0.36515832
159	0.34379998
160	0.31572574
161	0.30935827
162	0.33064187
163	0.3521926
164	0.35277894
165	0.3763029
166	0.3422176
167	0.3770367
168	0.34251425
169	0.36274302
170	0.3429646
171	0.35379755
172	0.33421296
173	0.3801973
174	0.35844418
175	0.3470701
176	0.28594464
177	0.35302863
178	0.32888782
179	0.32851955
180	0.3630179
181	0.38789332
182	0.36166674
183	0.3758973
184	0.35251677
185	0.36523744
186	0.34753847
187	0.33791405
188	0.32962936
189	0.32936856
190	0.30850178
191	0.3268664
192	0.30937067
193	0.31928548
194	0.30724528
195	0.32605124
196	0.35033923
197	0.34611437
198	0.372288
199	0.39335728
200	0.33996084
201	0.34841016
202	0.33988526
203	0.3302738
204	0.31048688
205	0.33289057
206	0.32574257
207	0.35031104
208	0.30114812
209	0.32231566
210	0.37637192
211	0.36704415
212	0.3780979
213	0.33458892
214	0.3629989
215	0.3558307
216	0.3148665
217	0.32530627
218	0.39339188
219	0.37969223
220	0.3597514
221	0.34363762
222	0.33725128
223	0.3058544
224	0.32703942
225	0.3389566
226	0.35642156
227	0.39013314
228	0.35508746
229	0.346395
230	0.33979627
231	0.3533009
232	0.295907
233	0.3584255
234	0.35263363
235	0.3386614
236	0.3073532
237	0.37358698
238	0.34472954
239	0.31210172
240	0.33018634
241	0.36824638
242	0.34655634
243	0.3276688
244	0.33327323
245	0.34295413
246	0.3470432
247	0.33946738
248	0.340268
249	0.33074218
250	0.33361802
251	0.32897443
252	0.33564305
253	0.3216879
254	0.3442744
255	0.42972493
