letter	frequency
0	0.97812915
1	0.31848574
2	0.2130837
3	0.21769251
4	0.19741586
5	0.18268256
6	0.19418268
7	0.18745698
8	0.22108416
9	0.18480486
10	0.18293022
11	0.18160756
12	0.18910216
13	0.17825815
14	0.18302801
15	0.18087746
16	0.18757348
17	0.1797068
18	0.17465138
19	0.17454337
20	0.17619812
21	0.17369996
22	0.17475341
23	0.17544964
24	0.1869152
25	0.17108943
26	0.17031194
27	0.17605768
28	0.16965462
29	0.17304525
30	0.17130609
31	0.17531827
32	0.21844958
33	0.18683638
34	0.17785001
35	0.17562206
36	0.17672251
37	0.16541785
38	0.1709766
39	0.16748007
40	0.17598176
41	0.16375412
42	0.17313533
43	0.16988964
44	0.17017496
45	0.18980205
46	0.17128533
47	0.17371488
48	0.19866723
49	0.18210255
50	0.17542699
51	0.17600341
52	0.17797375
53	0.17448112
54	0.17281242
55	0.1726489
56	0.18275253
57	0.1727163
58	0.16847163
59	0.17009033
60	0.16430439
61	0.19481842
62	0.17879057
63	0.17070557
64	0.18478522
65	0.18270732
66	0.17242828
67	0.16749625
68	0.17946495
69	0.16550688
70	0.17412059
71	0.1668121
72	0.17711022
73	0.1750769
74	0.16542816
75	0.16315876
76	0.17209046
77	0.1719358
78	0.16782641
79	0.16655225
80	0.17118718
81	0.165153
82	0.16959721
83	0.16813819
84	0.1676342
85	0.16821711
86	0.17585012
87	0.1668441
88	0.17544134
89	0.16249676
90	0.1788185
91	0.17371473
92	0.16388953
93	0.17126355
94	0.15386067
95	0.18243812
96	0.17594165
97	0.18998504
98	0.17570573
99	0.18568517
100	0.18554668
101	0.1865303
102	0.18295291
103	0.16776715
104	0.17437623
105	0.18257697
106	0.16649246
107	0.17748901
108	0.17306806
109	0.18864174
110	0.18453744
111	0.18334407
112	0.18739872
113	0.16816974
114	0.18133499
115	0.1766655
116	0.18964796
117	0.16955046
118	0.17328583
119	0.17263499
120	0.17706215
121	0.17391482
122	0.17022736
123	0.17423697
124	0.18300515
125	0.16980766
126	0.17387767
127	0.18281518
128	0.187058
129	0.1782633
130	0.17562747
131	0.17460191
132	0.17587051
133	0.17743291
134	0.17727803
135	0.1614237
136	0.17291515
137	0.17312515
138	0.16799325
139	0.1645986
140	0.17428546
141	0.17039482
142	0.16463868
143	0.17349023
144	0.16666354
145	0.16639481
146	0.16431892
147	0.16803843
148	0.164996
149	0.16489683
150	0.18411636
151	0.16837196
152	0.17267044
153	0.16393468
154	0.1750561
155	0.17306243
156	0.16918233
157	0.16853389
158	0.16591568
159	0.18663378
160	0.17229567
161	0.17071411
162	0.16671203
163	0.17341857
164	0.16860488
165	0.16510737
166	0.17235562
167	0.17380013
168	0.17121327
169	0.17038861
170	0.16926832
171	0.16858117
172	0.16677906
173	0.16594532
174	0.17065842
175	0.16910478
176	0.17571287
177	0.16657564
178	0.16412565
179	0.16542561
180	0.168207
181	0.16756985
182	0.17267182
183	0.16971485
184	0.1723301
185	0.16504662
186	0.1718324
187	0.17282262
188	0.16938712
189	0.16843909
190	0.17194504
191	0.18103373
192	0.17987482
193	0.17319283
194	0.17087817
195	0.17031933
196	0.17194553
197	0.1656678
198	0.17908137
199	0.16846716
200	0.16618635
201	0.16222276
202	0.16237098
203	0.16643016
204	0.17321226
205	0.168705
206	0.16716594
207	0.1842134
208	0.17731145
209	0.16801476
210	0.17221399
211	0.17549413
212	0.16901487
213	0.17080118
214	0.17091182
215	0.1706212
216	0.16458154
217	0.16949661
218	0.1699897
219	0.18139558
220	0.17038158
221	0.16899896
222	0.16984434
223	0.17536998
224	0.17440549
225	0.17397282
226	0.16535467
227	0.17942403
228	0.1635377
229	0.1678907
230	0.16506776
231	0.17883287
232	0.17298172
233	0.17181538
234	0.17437717
235	0.16941765
236	0.16602464
237	0.17205167
238	0.17563383
239	0.17300987
240	0.18112348
241	0.17870973
242	0.16218175
243	0.17672901
244	0.17163661
245	0.17646047
246	0.17152448
247	0.17274503
248	0.172231
249	0.18188873
250	0.17125607
251	0.1780864
252	0.1728057
253	0.17977989
254	0.18326168
255	0.23485973
