letter	frequency
0	0.8217903
1	0.29717198
2	0.30243734
3	0.26121745
4	0.32665473
5	0.2616716
6	0.26299083
7	0.2318617
8	0.30206436
9	0.27384484
10	0.2847964
11	0.253946
12	0.29741213
13	0.25372168
14	0.25797385
15	0.22877747
16	0.30519968
17	0.27661622
18	0.28295046
19	0.24897279
20	0.28600034
21	0.25849867
22	0.2643635
23	0.23245782
24	0.2960506
25	0.27148852
26	0.2702696
27	0.23999642
28	0.27040452
29	0.24524562
30	0.24057053
31	0.21938771
32	0.3524195
33	0.2724557
34	0.2931518
35	0.27170533
36	0.31005418
37	0.27287838
38	0.27541718
39	0.2421638
40	0.29479098
41	0.28348678
42	0.28941885
43	0.2532745
44	0.2815265
45	0.2584756
46	0.2651718
47	0.22879943
48	0.30334163
49	0.28201622
50	0.28645548
51	0.27475333
52	0.28099138
53	0.26357654
54	0.25344607
55	0.23416615
56	0.27232113
57	0.26658773
58	0.2559034
59	0.23491783
60	0.25314665
61	0.24570492
62	0.2251374
63	0.22936928
64	0.29676628
65	0.27754238
66	0.28301904
67	0.26464394
68	0.2891103
69	0.27616033
70	0.27369165
71	0.24949546
72	0.29277876
73	0.29649368
74	0.2874708
75	0.26596236
76	0.29120454
77	0.2798105
78	0.25756994
79	0.23489673
80	0.28782728
81	0.28106752
82	0.2927916
83	0.27507883
84	0.2862331
85	0.3409345
86	0.26734966
87	0.24136329
88	0.2691655
89	0.2736675
90	0.2696376
91	0.25562033
92	0.25912368
93	0.2501688
94	0.2346959
95	0.22898139
96	0.27103
97	0.28205842
98	0.27909023
99	0.26892668
100	0.2823735
101	0.28952298
102	0.28173065
103	0.25544438
104	0.2713388
105	0.28984126
106	0.27767664
107	0.2600427
108	0.25810045
109	0.2717371
110	0.25967827
111	0.2426661
112	0.25856262
113	0.2559334
114	0.2829538
115	0.2606928
116	0.2641265
117	0.2541585
118	0.24968812
119	0.23753227
120	0.23486911
121	0.23973039
122	0.24462608
123	0.2360004
124	0.21857396
125	0.22877663
126	0.21797416
127	0.25232068
128	0.30921182
129	0.2559799
130	0.28401962
131	0.24364574
132	0.2694496
133	0.25830716
134	0.267135
135	0.24973404
136	0.28384858
137	0.2735713
138	0.2754078
139	0.25166938
140	0.2782753
141	0.26641193
142	0.25297454
143	0.23612115
144	0.2755727
145	0.2802395
146	0.31676087
147	0.26256374
148	0.2832317
149	0.2685757
150	0.2681098
151	0.24762851
152	0.27372733
153	0.28804225
154	0.26883188
155	0.2497961
156	0.25008646
157	0.25102812
158	0.23514912
159	0.23428887
160	0.2656051
161	0.26810575
162	0.26989266
163	0.2558092
164	0.2818601
165	0.27749285
166	0.27460527
167	0.2505159
168	0.27059713
169	0.28547773
170	0.34011957
171	0.25953013
172	0.26266932
173	0.2682879
174	0.23982158
175	0.2322673
176	0.23976071
177	0.26516053
178	0.2670213
179	0.25512776
180	0.2585569
181	0.2669931
182	0.25952289
183	0.24865311
184	0.236409
185	0.26217026
186	0.24559936
187	0.24729007
188	0.22617173
189	0.24272434
190	0.22165138
191	0.24075557
192	0.27398813
193	0.24462612
194	0.2542121
195	0.2612664
196	0.28573966
197	0.25086215
198	0.25894654
199	0.24312569
200	0.2593256
201	0.26444307
202	0.27006754
203	0.26757595
204	0.27629542
205	0.25378466
206	0.2508423
207	0.23826453
208	0.24245793
209	0.24922366
210	0.2646164
211	0.2618238
212	0.26951864
213	0.25830176
214	0.26203158
215	0.23776966
216	0.23754223
217	0.2515875
218	0.25250447
219	0.25231767
220	0.24572942
221	0.25157663
222	0.22460148
223	0.23802623
224	0.2184673
225	0.24082726
226	0.24110232
227	0.24052861
228	0.2471241
229	0.2531092
230	0.256917
231	0.24401946
232	0.23669732
233	0.2640714
234	0.25740835
235	0.25061694
236	0.23591866
237	0.25082627
238	0.23907556
239	0.23175944
240	0.2139626
241	0.23129967
242	0.23866929
243	0.2773353
244	0.23993888
245	0.24938217
246	0.23365216
247	0.23327549
248	0.2071285
249	0.23473568
250	0.26744556
251	0.283295
252	0.22262187
253	0.25005785
254	0.25429186
255	0.6094783
