letter	frequency
0	0.73258376
1	0.17649691
2	0.16477394
3	0.13479884
4	0.13478261
5	0.12698343
6	0.13776892
7	0.120156616
8	0.1440934
9	0.13675608
10	0.19108878
11	0.11093971
12	0.12033507
13	0.16046898
14	0.10525419
15	0.109673254
16	0.12713666
17	0.10874815
18	0.11274668
19	0.09751776
20	0.10732087
21	0.10253353
22	0.1070096
23	0.103875995
24	0.12258698
25	0.1040719
26	0.10528082
27	0.09831391
28	0.10082402
29	0.096882865
30	0.095440924
31	0.0990312
32	0.33318293
33	0.11653512
34	0.18160827
35	0.106811784
36	0.11237117
37	0.10484065
38	0.107125655
39	0.113608256
40	0.13057865
41	0.13157322
42	0.124367565
43	0.104561836
44	0.121476494
45	0.13741896
46	0.17175177
47	0.15564437
48	0.14697789
49	0.13271914
50	0.12490748
51	0.121129185
52	0.12582457
53	0.11273917
54	0.107809514
55	0.10935014
56	0.1107299
57	0.104984395
58	0.10814787
59	0.12630425
60	0.12783031
61	0.12648648
62	0.13814388
63	0.13521631
64	0.16751042
65	0.13792917
66	0.12050989
67	0.15070865
68	0.12550393
69	0.12438545
70	0.12194964
71	0.11174945
72	0.12152383
73	0.12643455
74	0.110528424
75	0.10307266
76	0.12364945
77	0.10948649
78	0.107781164
79	0.11194238
80	0.12519345
81	0.09876869
82	0.117725186
83	0.1283578
84	0.12587662
85	0.13644058
86	0.1055921
87	0.10370677
88	0.12411458
89	0.10265044
90	0.104922645
91	0.10694997
92	0.107706
93	0.09970088
94	0.09029296
95	0.13223812
96	0.11551865
97	0.20494813
98	0.13170296
99	0.18333858
100	0.15648793
101	0.21903445
102	0.14633313
103	0.13904326
104	0.15377986
105	0.2021064
106	0.11475371
107	0.10943336
108	0.17246819
109	0.1446498
110	0.18214692
111	0.18291667
112	0.16120765
113	0.10216107
114	0.19169204
115	0.19234358
116	0.22036499
117	0.14628679
118	0.11913039
119	0.13244148
120	0.11347038
121	0.11937518
122	0.09911153
123	0.09934293
124	0.09191634
125	0.10017632
126	0.09135693
127	0.09261286
128	0.14377064
129	0.12289849
130	0.14696166
131	0.13190454
132	0.10449624
133	0.101413995
134	0.111840114
135	0.09603721
136	0.1066525
137	0.10575571
138	0.10743637
139	0.11090435
140	0.124725856
141	0.099151514
142	0.11054422
143	0.1030899
144	0.108808585
145	0.11184454
146	0.12027219
147	0.10103163
148	0.10304269
149	0.11007187
150	0.10930385
151	0.094156824
152	0.103541374
153	0.093522914
154	0.09775942
155	0.0936054
156	0.09247028
157	0.087821074
158	0.09419373
159	0.09726977
160	0.13078867
161	0.1069739
162	0.10471509
163	0.12097759
164	0.11476837
165	0.10032504
166	0.10301629
167	0.099933036
168	0.103639685
169	0.11077061
170	0.10640505
171	0.10616065
172	0.11511534
173	0.104768366
174	0.098144144
175	0.10050191
176	0.11198171
177	0.1116379
178	0.11277284
179	0.100105315
180	0.10939579
181	0.13615052
182	0.1227568
183	0.12328659
184	0.1065352
185	0.1146825
186	0.10946382
187	0.11927356
188	0.11597337
189	0.12515989
190	0.107519686
191	0.133856
192	0.14648539
193	0.11245465
194	0.13034838
195	0.12792781
196	0.14746624
197	0.111926824
198	0.10992677
199	0.10949732
200	0.11098084
201	0.116459675
202	0.12764601
203	0.10348157
204	0.109331906
205	0.100732654
206	0.1117885
207	0.1150747
208	0.13582951
209	0.11574992
210	0.115997314
211	0.11892649
212	0.11734179
213	0.10724386
214	0.12773004
215	0.11159905
216	0.10579346
217	0.093589306
218	0.10490476
219	0.101428784
220	0.101706125
221	0.10400823
222	0.097862095
223	0.09644107
224	0.11029709
225	0.10664403
226	0.10956755
227	0.10669878
228	0.09815022
229	0.09969747
230	0.09595284
231	0.10284751
232	0.11768215
233	0.10982687
234	0.10399039
235	0.10969434
236	0.09685816
237	0.10604219
238	0.10117707
239	0.11067042
240	0.101841435
241	0.11138087
242	0.0988295
243	0.10260868
244	0.101073
245	0.10408732
246	0.10319409
247	0.10866099
248	0.10591761
249	0.09969817
250	0.11487194
251	0.10618682
252	0.10945001
253	0.11987722
254	0.13606165
255	0.17342287
