letter	frequency
0	0.47048858
1	0.36608872
2	0.35562608
3	0.35398155
4	0.35201955
5	0.35190108
6	0.34934387
7	0.3507055
8	0.35089004
9	0.34083432
10	0.47816965
11	0.34610778
12	0.35524428
13	0.43515027
14	0.34790948
15	0.34683242
16	0.34839952
17	0.3463458
18	0.34206292
19	0.33546633
20	0.36440456
21	0.34850654
22	0.350896
23	0.34399307
24	0.35434204
25	0.34376487
26	0.34325665
27	0.33821428
28	0.35333738
29	0.3445064
30	0.34734702
31	0.3511054
32	0.89148426
33	0.34523758
34	0.35554016
35	0.36012426
36	0.3703046
37	0.35847953
38	0.34899884
39	0.36543003
40	0.37676474
41	0.36293942
42	0.35174656
43	0.3605731
44	0.35974702
45	0.38568
46	0.42156684
47	0.57144564
48	0.7033984
49	0.5040877
50	0.49403778
51	0.45575264
52	0.4559129
53	0.46424165
54	0.4534639
55	0.4421421
56	0.4466995
57	0.43715796
58	0.38735232
59	0.3556332
60	0.44649392
61	0.36494708
62	0.44574398
63	0.35994527
64	0.3512555
65	0.37974072
66	0.3725101
67	0.3842308
68	0.3922399
69	0.38556257
70	0.4139869
71	0.37102884
72	0.3664778
73	0.39717075
74	0.35861218
75	0.3651668
76	0.37223357
77	0.36899894
78	0.36294007
79	0.3665906
80	0.37757576
81	0.36691028
82	0.4195412
83	0.38606027
84	0.39195296
85	0.3655879
86	0.3640804
87	0.37281325
88	0.36663038
89	0.36359787
90	0.3666066
91	0.37804565
92	0.35696065
93	0.3773202
94	0.35265088
95	0.35642567
96	0.35850677
97	0.4734083
98	0.43731987
99	0.43711782
100	0.45740864
101	0.6009151
102	0.38700753
103	0.39509812
104	0.39091903
105	0.4447802
106	0.41863587
107	0.36729667
108	0.4143516
109	0.42012832
110	0.48841003
111	0.5088197
112	0.4149131
113	0.36402392
114	0.46939626
115	0.44190297
116	0.5304297
117	0.38875845
118	0.36144045
119	0.35547978
120	0.3897999
121	0.38180998
122	0.35336143
123	0.34627223
124	0.3443143
125	0.35110334
126	0.34837392
127	0.35072252
128	0.34991252
129	0.3456775
130	0.34711635
131	0.34434393
132	0.3392693
133	0.34155712
134	0.3449938
135	0.345188
136	0.33932436
137	0.34141424
138	0.36628205
139	0.3471041
140	0.34828025
141	0.34275165
142	0.35072047
143	0.35190323
144	0.34014493
145	0.34823558
146	0.36685872
147	0.3447558
148	0.34538245
149	0.34836912
150	0.35753146
151	0.3489676
152	0.3397864
153	0.342079
154	0.34658164
155	0.34047115
156	0.3471924
157	0.344845
158	0.3477038
159	0.34779814
160	0.34217113
161	0.3414053
162	0.35794875
163	0.34513837
164	0.3477967
165	0.35626203
166	0.34640545
167	0.35211146
168	0.3408613
169	0.34727612
170	0.34691787
171	0.3521429
172	0.34665242
173	0.35087487
174	0.35109687
175	0.35338795
176	0.3429601
177	0.35181415
178	0.34895653
179	0.3487128
180	0.3532397
181	0.35527572
182	0.34988344
183	0.3487867
184	0.346759
185	0.34634575
186	0.3471857
187	0.350374
188	0.3420249
189	0.34806335
190	0.3465897
191	0.3495051
192	0.34788606
193	0.34836984
194	0.34168243
195	0.349833
196	0.34358925
197	0.35212544
198	0.34742433
199	0.3566781
200	0.3442465
201	0.3442268
202	0.34368616
203	0.35222295
204	0.34150815
205	0.34369022
206	0.34416613
207	0.3499762
208	0.34070557
209	0.34318691
210	0.3519642
211	0.35449865
212	0.34798703
213	0.34938684
214	0.35008094
215	0.3529369
216	0.34729725
217	0.34769
218	0.35107842
219	0.3503484
220	0.34267083
221	0.34726351
222	0.34314603
223	0.34736872
224	0.34593293
225	0.3471477
226	0.34823924
227	0.35319847
228	0.3460895
229	0.3468128
230	0.34297806
231	0.35210323
232	0.33824155
233	0.3500511
234	0.34913328
235	0.34935027
236	0.34853616
237	0.3508547
238	0.34531477
239	0.34793034
240	0.34737584
241	0.34822237
242	0.3454518
243	0.34563264
244	0.34577346
245	0.34979963
246	0.3501429
247	0.3506402
248	0.34979728
249	0.34313852
250	0.34804308
251	0.35197952
252	0.34910092
253	0.35000634
254	0.3498566
255	0.36926207
