letter	frequency
0	0.89683473
1	0.5103593
2	0.5104235
3	0.49431702
4	0.518799
5	0.48020345
6	0.49956307
7	0.4898793
8	0.54390734
9	0.48764715
10	0.5146713
11	0.48693717
12	0.5060796
13	0.5055522
14	0.4902274
15	0.49603355
16	0.53337157
17	0.494811
18	0.49222326
19	0.48057222
20	0.50300074
21	0.47734725
22	0.4888691
23	0.49100393
24	0.5195415
25	0.48508462
26	0.50249726
27	0.49073568
28	0.5038281
29	0.48565826
30	0.49413803
31	0.50031644
32	0.5895265
33	0.4940362
34	0.5433415
35	0.48235777
36	0.50897884
37	0.48237586
38	0.49220225
39	0.48598582
40	0.50536114
41	0.4857671
42	0.48759565
43	0.48006892
44	0.5117465
45	0.50644267
46	0.522685
47	0.53366613
48	0.5671611
49	0.5505715
50	0.52988476
51	0.5155278
52	0.5270618
53	0.500582
54	0.5189447
55	0.5096302
56	0.52337927
57	0.5128823
58	0.5602359
59	0.49473643
60	0.5293667
61	0.5141893
62	0.51891726
63	0.51680285
64	0.49785414
65	0.52550656
66	0.53208023
67	0.5018788
68	0.5675618
69	0.5393318
70	0.508318
71	0.50477594
72	0.5183033
73	0.5502678
74	0.4989055
75	0.48521498
76	0.50032276
77	0.51417243
78	0.52010745
79	0.49361974
80	0.50276124
81	0.49231988
82	0.532987
83	0.4915967
84	0.52536434
85	0.49376503
86	0.48832744
87	0.49051586
88	0.5218541
89	0.49968004
90	0.49719808
91	0.48596638
92	0.49778232
93	0.49593338
94	0.49741372
95	0.4959707
96	0.5101933
97	0.5502317
98	0.51384413
99	0.5385108
100	0.5391429
101	0.57192945
102	0.531535
103	0.52048504
104	0.508625
105	0.53003997
106	0.4880212
107	0.5087028
108	0.51505804
109	0.5523553
110	0.52956814
111	0.55550957
112	0.5482141
113	0.5030032
114	0.5301721
115	0.54367566
116	0.57781065
117	0.5026215
118	0.5011265
119	0.52173597
120	0.5571304
121	0.51289487
122	0.5022366
123	0.5076095
124	0.5024416
125	0.5055924
126	0.5101876
127	0.5113421
128	0.50180066
129	0.49312282
130	0.50065887
131	0.49261588
132	0.4953314
133	0.49128455
134	0.49073386
135	0.49402973
136	0.49620214
137	0.50737244
138	0.492465
139	0.49938667
140	0.49373883
141	0.4960178
142	0.50138956
143	0.50365704
144	0.4783969
145	0.49271905
146	0.49124393
147	0.50261205
148	0.48766637
149	0.4907978
150	0.49325955
151	0.4984085
152	0.48420733
153	0.5008648
154	0.4937589
155	0.50356835
156	0.49844918
157	0.50769997
158	0.5056992
159	0.5098072
160	0.47315165
161	0.48481533
162	0.4881357
163	0.4961459
164	0.47393265
165	0.5027649
166	0.49237338
167	0.5002535
168	0.46925
169	0.4927773
170	0.49474388
171	0.49858138
172	0.48427302
173	0.5060793
174	0.5143996
175	0.5040593
176	0.48044276
177	0.50319797
178	0.48774695
179	0.50493246
180	0.482184
181	0.5066949
182	0.502993
183	0.50131524
184	0.48315138
185	0.50521564
186	0.49230295
187	0.5133488
188	0.49612525
189	0.5135854
190	0.5030626
191	0.51240647
192	0.4939353
193	0.49959633
194	0.4826502
195	0.5091022
196	0.48316342
197	0.49724454
198	0.5060765
199	0.5199262
200	0.47499615
201	0.5009058
202	0.47998708
203	0.51123196
204	0.49137256
205	0.5032533
206	0.5098755
207	0.5252774
208	0.47475913
209	0.50022197
210	0.48411795
211	0.50934863
212	0.4705386
213	0.4964157
214	0.4996746
215	0.515254
216	0.48537052
217	0.5021404
218	0.5017793
219	0.52055705
220	0.49038205
221	0.51114166
222	0.50875306
223	0.5202726
224	0.49635634
225	0.49948105
226	0.4873499
227	0.519405
228	0.4826242
229	0.50064415
230	0.49234998
231	0.5317295
232	0.4828619
233	0.5052012
234	0.4834943
235	0.5180945
236	0.49239624
237	0.5152939
238	0.5069103
239	0.5298808
240	0.49251443
241	0.50584555
242	0.49249527
243	0.5215635
244	0.49105725
245	0.5081288
246	0.49940416
247	0.5312653
248	0.50228363
249	0.50821215
250	0.50205266
251	0.51978624
252	0.50721425
253	0.5173059
254	0.5154705
255	0.53642803
