letter	frequency
0	0.8494178
1	0.42160368
2	0.34516814
3	0.3483273
4	0.3438624
5	0.32091892
6	0.33259872
7	0.32816213
8	0.34292403
9	0.31384888
10	0.32525265
11	0.30731034
12	0.32852432
13	0.3138356
14	0.30625415
15	0.31732765
16	0.3368147
17	0.3237435
18	0.31766084
19	0.30629572
20	0.34298548
21	0.3280936
22	0.30816337
23	0.3103584
24	0.34094793
25	0.32586852
26	0.31007972
27	0.34373873
28	0.3187165
29	0.31101486
30	0.31287828
31	0.3204557
32	0.34565225
33	0.31440043
34	0.3104487
35	0.32451203
36	0.33516294
37	0.3142333
38	0.30718157
39	0.31510726
40	0.3233073
41	0.30593032
42	0.32382968
43	0.3212873
44	0.31622255
45	0.32515353
46	0.31030402
47	0.3102466
48	0.32528785
49	0.32234353
50	0.3222541
51	0.31879592
52	0.3071139
53	0.3131424
54	0.34232607
55	0.32151926
56	0.3160161
57	0.3114999
58	0.30126268
59	0.31607333
60	0.31255603
61	0.3178089
62	0.31315747
63	0.33344415
64	0.36084473
65	0.3140093
66	0.30850482
67	0.29852
68	0.30604658
69	0.31249085
70	0.32196298
71	0.3148854
72	0.31691346
73	0.32479596
74	0.31408927
75	0.31722757
76	0.30481765
77	0.3160077
78	0.3082492
79	0.32192463
80	0.30849338
81	0.32443315
82	0.31139413
83	0.31605363
84	0.31900087
85	0.3408416
86	0.3289573
87	0.32506037
88	0.31968483
89	0.31803796
90	0.32303062
91	0.33328682
92	0.3056031
93	0.31805608
94	0.3141285
95	0.3263905
96	0.3175501
97	0.31686378
98	0.3194345
99	0.33205578
100	0.33617666
101	0.32953265
102	0.3224256
103	0.31831375
104	0.3105833
105	0.32299024
106	0.3210746
107	0.32406527
108	0.32633835
109	0.39697778
110	0.33112526
111	0.3545767
112	0.31114888
113	0.31546095
114	0.31798318
115	0.32468563
116	0.3019797
117	0.31539786
118	0.32062888
119	0.32320505
120	0.31857905
121	0.31483322
122	0.3086143
123	0.32934538
124	0.30978352
125	0.32182175
126	0.31691483
127	0.37504402
128	0.33745614
129	0.31689465
130	0.31239334
131	0.30787477
132	0.30376622
133	0.31411716
134	0.31022993
135	0.2979672
136	0.3171966
137	0.3041633
138	0.32771653
139	0.30258572
140	0.33090413
141	0.34026632
142	0.31320643
143	0.30877388
144	0.3050274
145	0.31602874
146	0.3268267
147	0.3168819
148	0.29703882
149	0.3163242
150	0.33227658
151	0.31040904
152	0.3001817
153	0.31479782
154	0.30973822
155	0.32350776
156	0.31004757
157	0.30013418
158	0.31385732
159	0.3257333
160	0.307313
161	0.2950561
162	0.30788952
163	0.30756316
164	0.30314627
165	0.31248608
166	0.3113231
167	0.30798283
168	0.30890512
169	0.31944522
170	0.33621234
171	0.3269116
172	0.31235233
173	0.33189872
174	0.3231392
175	0.32476744
176	0.30284142
177	0.32077777
178	0.31584862
179	0.3120609
180	0.31483436
181	0.32857513
182	0.37279275
183	0.35222754
184	0.30615795
185	0.3179132
186	0.32037446
187	0.32457986
188	0.31516194
189	0.3261583
190	0.31912157
191	0.3558782
192	0.31724107
193	0.30716372
194	0.30681443
195	0.30542982
196	0.3108504
197	0.31337953
198	0.34640917
199	0.30869406
200	0.302313
201	0.31894326
202	0.30412385
203	0.32528904
204	0.31122947
205	0.31617108
206	0.30276257
207	0.3197962
208	0.29938692
209	0.2934322
210	0.30713493
211	0.30989614
212	0.30724093
213	0.31995815
214	0.32066804
215	0.3154539
216	0.30914626
217	0.31664234
218	0.32180586
219	0.39136508
220	0.31550977
221	0.31934783
222	0.32340565
223	0.3550016
224	0.30950978
225	0.30809626
226	0.31244805
227	0.33404228
228	0.30877337
229	0.31110314
230	0.31116292
231	0.31260082
232	0.2880824
233	0.30464438
234	0.31379023
235	0.32870787
236	0.30831856
237	0.32638475
238	0.31209958
239	0.34030986
240	0.31920755
241	0.33911118
242	0.31275967
243	0.31681517
244	0.30638045
245	0.3229932
246	0.3269966
247	0.33612525
248	0.3505601
249	0.31767303
250	0.3274009
251	0.34096414
252	0.36001745
253	0.33856118
254	0.37886807
255	0.4920462
