letter	frequency
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0.012059684
10	0.39845297
11	0
12	0
13	0.09028795
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0.92739445
33	0.0008016575
34	0.06299849
35	0.0019823548
36	0
37	0.0011393978
38	0.00046529234
39	0.04167697
40	0.040933777
41	0.044779893
42	0.5185549
43	0.020270105
44	0.109527074
45	0.18105976
46	0.28975672
47	0.08367499
48	0.23609893
49	0.18123505
50	0.18184839
51	0.15852512
52	0.121082306
53	0.13964935
54	0.07783993
55	0.07546857
56	0.09912826
57	0.087080605
58	0.20860942
59	0.007594808
60	0.06797464
61	0.066795655
62	0.07864997
63	0.0014887799
64	0.10950071
65	0.08853627
66	0.055793885
67	0.10696154
68	0.12881106
69	0.08267856
70	0.08758585
71	0.02959776
72	0.032328926
73	0.08760282
74	0.029702479
75	0.007065856
76	0.07340484
77	0.083432816
78	0.07133749
79	0.089619
80	0.08218853
81	0.0033494125
82	0.09452587
83	0.18552476
84	0.117428906
85	0.01686803
86	0.011032182
87	0.010835133
88	0.011780738
89	0.038892493
90	0.0058463183
91	0.028317008
92	0.009110159
93	0.028317008
94	0.00016369471
95	0.068106584
96	0
97	0.4497776
98	0.12533097
99	0.3045935
100	0.25745055
101	0.516287
102	0.1544688
103	0.15429105
104	0.17420371
105	0.3269831
106	0.044206087
107	0.05458225
108	0.2949865
109	0.115854315
110	0.33258504
111	0.37990633
112	0.18289207
113	0.007436523
114	0.35044023
115	0.348699
116	0.4424844
117	0.25954917
118	0.114315554
119	0.055208553
120	0.045108307
121	0.13068998
122	0.0064127347
123	0
124	0.019530382
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0.003086988
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0.011684192
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0.000058799014
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
