letter	frequency
0	0.45859125
1	0.12442736
2	0.107428215
3	0.08037743
4	0.07802099
5	0.05632133
6	0.04663017
7	0.05026305
8	0.0367831
9	0.04954078
10	0.033334583
11	0.034126997
12	0.04267235
13	0.037503526
14	0.042989984
15	0.033961535
16	0.034370065
17	0.04179711
18	0.034632448
19	0.04303898
20	0.0374376
21	0.03636738
22	0.04777753
23	0.039859824
24	0.04240015
25	0.03590935
26	0.03484231
27	0.04678208
28	0.03210403
29	0.038278144
30	0.03541724
31	0.042114854
32	0.047904722
33	0.040110137
34	0.045693446
35	0.038543936
36	0.04117066
37	0.044215
38	0.032919463
39	0.037282653
40	0.032097016
41	0.03276649
42	0.033707894
43	0.027932368
44	0.040067643
45	0.03260654
46	0.030365879
47	0.033862587
48	0.030607402
49	0.03594904
50	0.033701193
51	0.0322514
52	0.031360373
53	0.027425056
54	0.03990354
55	0.025968421
56	0.028971592
57	0.026544757
58	0.023376802
59	0.033541236
60	0.027325587
61	0.032057416
62	0.034675572
63	0.0350887
64	0.037697326
65	0.035010103
66	0.039660025
67	0.03954213
68	0.04263505
69	0.042980634
70	0.03790967
71	0.044739265
72	0.031783372
73	0.03430709
74	0.03195838
75	0.023887789
76	0.031854324
77	0.019576473
78	0.015822051
79	0.030091794
80	0.014875523
81	0.026566764
82	0.015555543
83	0.014826142
84	0.02581742
85	0.014131184
86	0.025573606
87	0.015319203
88	0.014895462
89	0.033181787
90	0.015124966
91	0.027642021
92	0.015780488
93	0.015805047
94	0.029670095
95	0.016527236
96	0.032518797
97	0.01890136
98	0.01790484
99	0.03284345
100	0.021255985
101	0.03157489
102	0.020359723
103	0.020882932
104	0.031585503
105	0.02267899
106	0.041500654
107	0.023544475
108	0.025592418
109	0.040968463
110	0.029496903
111	0.043880794
112	0.032241262
113	0.033150762
114	0.04976528
115	0.038156837
116	0.05924568
117	0.04607749
118	0.05102769
119	0.06662533
120	0.060681846
121	0.08154259
122	0.084888004
123	0.106996
124	0.150787
125	0.17293985
126	0.26434588
127	0.43681273
128	0.502124
129	0.22400658
130	0.15180899
131	0.13203768
132	0.09442838
133	0.0851903
134	0.072288625
135	0.056400493
136	0.06179232
137	0.045223195
138	0.049369745
139	0.050334837
140	0.03599253
141	0.052575197
142	0.032353997
143	0.042067036
144	0.03239896
145	0.027040794
146	0.039655384
147	0.02470753
148	0.031748917
149	0.02994703
150	0.021761611
151	0.03959343
152	0.020920627
153	0.027210167
154	0.025501912
155	0.018346839
156	0.032603472
157	0.016993513
158	0.034247413
159	0.01645273
160	0.01623733
161	0.029397003
162	0.0154878665
163	0.026917739
164	0.01572963
165	0.014921601
166	0.02598918
167	0.013814456
168	0.03242366
169	0.014225808
170	0.01321282
171	0.025792805
172	0.013647801
173	0.027147189
174	0.013092395
175	0.013670567
176	0.028255662
177	0.012009761
178	0.027132109
179	0.012968613
180	0.013497849
181	0.024788609
182	0.013206155
183	0.023605814
184	0.013114671
185	0.012402892
186	0.03139786
187	0.012459153
188	0.024731748
189	0.01219463
190	0.011744196
191	0.02663041
192	0.011795821
193	0.026730714
194	0.012278562
195	0.012524086
196	0.027310591
197	0.0117302975
198	0.025050793
199	0.01214811
200	0.012615997
201	0.024173511
202	0.012951669
203	0.03131719
204	0.012400323
205	0.01736404
206	0.022707067
207	0.012131957
208	0.02587739
209	0.01239462
210	0.0127166975
211	0.024767634
212	0.011766897
213	0.028634857
214	0.012345303
215	0.013022553
216	0.025332823
217	0.012276558
218	0.02627801
219	0.012649128
220	0.022556404
221	0.025007546
222	0.012491674
223	0.024191521
224	0.012179782
225	0.020624625
226	0.022242347
227	0.012948639
228	0.024095833
229	0.0125978235
230	0.03111737
231	0.014427212
232	0.0136783505
233	0.026067007
234	0.01370191
235	0.021196483
236	0.027220767
237	0.01575512
238	0.033262473
239	0.017202739
240	0.02992056
241	0.021537304
242	0.019290747
243	0.031968314
244	0.021973537
245	0.03286565
246	0.026824154
247	0.030391857
248	0.053719796
249	0.04366634
250	0.06512138
251	0.06586748
252	0.07842129
253	0.10718133
254	0.109012045
255	0.40148252
