letter	frequency
0	0.9560797
1	0.24960642
2	0.19455811
3	0.17626755
4	0.21590374
5	0.159024
6	0.17249067
7	0.15241317
8	0.26391032
9	0.14365485
10	0.14015602
11	0.13082497
12	0.17132686
13	0.12714978
14	0.14035949
15	0.17236705
16	0.20350978
17	0.12607774
18	0.12737106
19	0.10824329
20	0.1359957
21	0.10790507
22	0.114611246
23	0.106406726
24	0.15070193
25	0.09401647
26	0.09382564
27	0.09766511
28	0.12197701
29	0.10037168
30	0.17113002
31	0.17683262
32	0.15265922
33	0.12690595
34	0.089920096
35	0.10814698
36	0.14955086
37	0.10631292
38	0.09861722
39	0.095191546
40	0.12142465
41	0.09985676
42	0.09044204
43	0.09604039
44	0.106585026
45	0.097808965
46	0.10341224
47	0.13637796
48	0.15347512
49	0.12657087
50	0.08631335
51	0.08989323
52	0.109908104
53	0.09594032
54	0.10337737
55	0.09504038
56	0.13193887
57	0.10475974
58	0.077045865
59	0.09635424
60	0.11451093
61	0.089320675
62	0.10120819
63	0.13764131
64	0.14566927
65	0.13249958
66	0.13115403
67	0.14066544
68	0.13262644
69	0.137668
70	0.12060776
71	0.11912082
72	0.12682447
73	0.10063721
74	0.088181295
75	0.08830912
76	0.11652964
77	0.110158116
78	0.093692444
79	0.10178206
80	0.1524808
81	0.08759581
82	0.09237306
83	0.124833785
84	0.14597712
85	0.11005175
86	0.09956038
87	0.108261056
88	0.12973736
89	0.0763393
90	0.08211507
91	0.09060127
92	0.10140675
93	0.10298784
94	0.098366246
95	0.21609455
96	0.14808722
97	0.16542377
98	0.105250746
99	0.14537083
100	0.1431512
101	0.18711373
102	0.113278836
103	0.11542354
104	0.15352243
105	0.15269412
106	0.08794923
107	0.11320202
108	0.15842533
109	0.12662315
110	0.17325896
111	0.16588673
112	0.18454486
113	0.081896365
114	0.15656102
115	0.14084196
116	0.22610846
117	0.1781501
118	0.12492577
119	0.11715504
120	0.14359386
121	0.0953093
122	0.07522056
123	0.08823133
124	0.09961453
125	0.09186273
126	0.1023035
127	0.1332668
128	0.16979109
129	0.12506878
130	0.104770906
131	0.18941393
132	0.13836025
133	0.18384087
134	0.10084253
135	0.10192612
136	0.115882754
137	0.1985302
138	0.07948735
139	0.21684816
140	0.10430362
141	0.16104914
142	0.08004234
143	0.091920175
144	0.14164898
145	0.085605375
146	0.07177247
147	0.07821363
148	0.0947315
149	0.11056628
150	0.06094507
151	0.08144106
152	0.10063268
153	0.0731845
154	0.06915689
155	0.08292879
156	0.077436924
157	0.08351399
158	0.08451125
159	0.121026024
160	0.11603361
161	0.103565454
162	0.07053853
163	0.08924398
164	0.08748892
165	0.08002487
166	0.07703007
167	0.073465794
168	0.09570557
169	0.087971576
170	0.06875358
171	0.07422943
172	0.08639011
173	0.07963128
174	0.07222474
175	0.08663782
176	0.11573239
177	0.083486825
178	0.06056256
179	0.07067369
180	0.08819176
181	0.105060495
182	0.06870839
183	0.100841284
184	0.11649464
185	0.08298854
186	0.0841538
187	0.09766035
188	0.09511152
189	0.10505586
190	0.09763119
191	0.13537894
192	0.17751668
193	0.13853942
194	0.1170548
195	0.10958148
196	0.12700197
197	0.084715046
198	0.093809225
199	0.12338256
200	0.10473763
201	0.09264387
202	0.06659013
203	0.0718368
204	0.08025256
205	0.07254977
206	0.0803633
207	0.0856257
208	0.13187805
209	0.09497609
210	0.094721854
211	0.07774576
212	0.083300985
213	0.07380564
214	0.07725579
215	0.08008114
216	0.120050006
217	0.09235827
218	0.08309799
219	0.09998612
220	0.08984532
221	0.1067435
222	0.10483363
223	0.13379945
224	0.1493975
225	0.10324352
226	0.07555224
227	0.07679452
228	0.09139391
229	0.068130225
230	0.060025953
231	0.06804969
232	0.13721332
233	0.10473951
234	0.07107376
235	0.12696716
236	0.11759211
237	0.087024614
238	0.07020101
239	0.11565055
240	0.13953303
241	0.08480494
242	0.06835454
243	0.07066849
244	0.07994358
245	0.06455681
246	0.10174841
247	0.09471331
248	0.12648197
249	0.07491973
250	0.07614207
251	0.088375024
252	0.104997754
253	0.11132836
254	0.12441268
255	0.3341845
