letter	frequency
0	0.0000033382037
1	0
2	0
3	0.0000038750704
4	0
5	0
6	0
7	2.62538e-7
8	0
9	0.22496268
10	0.31218842
11	0.000010986793
12	0
13	0.075252794
14	0
15	2.9411456e-7
16	0
17	0
18	0
19	0
20	0
21	2.9411456e-7
22	2.9411456e-7
23	0
24	0
25	0
26	0.000003868584
27	0
28	2.8130154e-7
29	0
30	0
31	0
32	0.95402
33	0.05024
34	0.47798228
35	0.036954433
36	0.008410969
37	0.031470913
38	0.051659197
39	0.078167714
40	0.06684858
41	0.066898555
42	0.020869466
43	0.023097279
44	0.09225926
45	0.26024523
46	0.23944493
47	0.4606596
48	0.15288988
49	0.14626302
50	0.13799162
51	0.09322984
52	0.07444311
53	0.076151714
54	0.06828126
55	0.062733844
56	0.06872906
57	0.07147153
58	0.13486512
59	0.09852201
60	0.3941166
61	0.31630853
62	0.39414605
63	0.035453018
64	0.008457622
65	0.08505059
66	0.051291276
67	0.08720763
68	0.06843763
69	0.06939783
70	0.056558758
71	0.041843697
72	0.04351467
73	0.069731
74	0.025319317
75	0.018512333
76	0.05838094
77	0.06120617
78	0.053398836
79	0.05032546
80	0.065033294
81	0.01576308
82	0.055587985
83	0.09176689
84	0.08023251
85	0.042467162
86	0.026883664
87	0.038300503
88	0.017474135
89	0.024086451
90	0.011888454
91	0.026675243
92	0.026593775
93	0.026655253
94	0.0007721248
95	0.11607917
96	0.00010392308
97	0.6113818
98	0.20487753
99	0.41519585
100	0.38555452
101	0.71005034
102	0.24283297
103	0.24946071
104	0.32532728
105	0.5878915
106	0.084704176
107	0.1204188
108	0.48288494
109	0.30845806
110	0.4777835
111	0.48148808
112	0.3450406
113	0.04300255
114	0.49791133
115	0.5597323
116	0.64722246
117	0.27318367
118	0.22354893
119	0.19323647
120	0.12218096
121	0.18545139
122	0.03634403
123	0.029858626
124	0.021115623
125	0.02984495
126	0.0011903364
127	0
128	0.007683966
129	0.003359219
130	0.0028253046
131	0.0027944234
132	0.0013858653
133	0.0011874669
134	0.0009119731
135	0.0010805468
136	0.0014670806
137	0.001086131
138	0.0010964577
139	0.0013079847
140	0.0013167759
141	0.0008302997
142	0.0006688713
143	0.001091771
144	0.0011335481
145	0.0010426055
146	0.0009299951
147	0.0020686975
148	0.0017997591
149	0.0013231956
150	0.0012903031
151	0.0013393449
152	0.0009105026
153	0.0037498954
154	0.0009937634
155	0.00089310325
156	0.002197068
157	0.0015885544
158	0.0007339338
159	0.0010316462
160	0.0047383187
161	0.0016717393
162	0.001411756
163	0.0010465189
164	0.0016127904
165	0.0014095418
166	0.0016662271
167	0.0016828638
168	0.0015397695
169	0.0030642147
170	0.0015379386
171	0.0010992403
172	0.0010085703
173	0.0018584002
174	0.0013071316
175	0.0010877302
176	0.0016257432
177	0.0016088606
178	0.0011191132
179	0.0018191914
180	0.0012440482
181	0.0013553461
182	0.0010550393
183	0.0009426473
184	0.0029203384
185	0.001798536
186	0.0017593586
187	0.001889119
188	0.0020074628
189	0.0013455896
190	0.0013076972
191	0.0011768161
192	0.00014499977
193	0.00017863046
194	0.0051446306
195	0.00448452
196	0.0005280873
197	0.0004480341
198	0.00012399715
199	0.00015686957
200	0.00016118468
201	0.00022354226
202	0.00023696339
203	0.00017667963
204	0.00016797312
205	0.00019186994
206	0.00047611844
207	0.00028859623
208	0.0019725075
209	0.0012951609
210	0.00018930445
211	0.00016574678
212	0.0001663717
213	0.00013198717
214	0.00016159064
215	0.00040488888
216	0.0008868237
217	0.0006162827
218	0.00016069536
219	0.00020136755
220	0.000073571115
221	0.000089165565
222	0.00007781873
223	0.00006799524
224	0.0015927429
225	0.0008693957
226	0.006129208
227	0.0043159034
228	0.0015456795
229	0.002732137
230	0.0024681955
231	0.0020278601
232	0.0015924223
233	0.0014581087
234	0.0003080741
235	0.00031265363
236	0.0004964564
237	0.00032859633
238	0.00007960273
239	0.00085215963
240	0.00010381285
241	0.000082293205
242	0.00009535036
243	0.00011060021
244	0.000040164312
245	0.000058278725
246	0.00007448957
247	0.000089111905
248	0.00011369404
249	0.0000820591
250	0.00007035793
251	0.000058892776
252	0.00012852812
253	0.000051706942
254	0.000045310113
255	0.000011772275
