letter	frequency
0	0.81726027
1	0.6805241
2	0.67614615
3	0.69646823
4	0.6854085
5	0.6974623
6	0.69293684
7	0.71041584
8	0.6932371
9	0.69696206
10	0.70261943
11	0.7096854
12	0.6902543
13	0.70727897
14	0.7092134
15	0.722836
16	0.67538935
17	0.69763315
18	0.7047806
19	0.71084666
20	0.71639556
21	0.7161298
22	0.70903355
23	0.7186922
24	0.693066
25	0.71123576
26	0.71480966
27	0.71648633
28	0.715989
29	0.72185755
30	0.724981
31	0.73847276
32	0.6801114
33	0.69525033
34	0.69802034
35	0.71796334
36	0.70766014
37	0.7143562
38	0.7103474
39	0.7248691
40	0.70274466
41	0.72070605
42	0.71848804
43	0.7243209
44	0.71067387
45	0.71908766
46	0.72802675
47	0.73256767
48	0.70275193
49	0.72275144
50	0.7226179
51	0.72526675
52	0.7120378
53	0.7247033
54	0.72111
55	0.7287401
56	0.71844715
57	0.7306775
58	0.72184813
59	0.7310841
60	0.72796893
61	0.7362184
62	0.7414566
63	0.7496364
64	0.67147243
65	0.70024073
66	0.6996616
67	0.7104698
68	0.70569104
69	0.7175193
70	0.71991587
71	0.72915083
72	0.7052316
73	0.7215282
74	0.7195642
75	0.7350969
76	0.70907724
77	0.724218
78	0.7261736
79	0.73797196
80	0.71003634
81	0.715403
82	0.722299
83	0.72802246
84	0.72367036
85	0.7280211
86	0.7275297
87	0.732918
88	0.7140192
89	0.7235444
90	0.7255002
91	0.72782224
92	0.7246347
93	0.7295814
94	0.7323696
95	0.7538608
96	0.69306934
97	0.72353315
98	0.7119038
99	0.72969383
100	0.71697843
101	0.73705506
102	0.7199033
103	0.7401005
104	0.7163807
105	0.73541844
106	0.7241826
107	0.73584336
108	0.7300868
109	0.7383371
110	0.73322946
111	0.75028855
112	0.71165043
113	0.7258168
114	0.7339393
115	0.7494397
116	0.72710574
117	0.73832047
118	0.7316502
119	0.7396963
120	0.73001844
121	0.7364394
122	0.73002964
123	0.73944825
124	0.735748
125	0.7448337
126	0.7484582
127	0.749224
128	0.67036104
129	0.69123554
130	0.69572395
131	0.70825094
132	0.6952522
133	0.71294147
134	0.70744956
135	0.72138613
136	0.6965783
137	0.7131532
138	0.7200783
139	0.7161972
140	0.71675074
141	0.72355324
142	0.7281912
143	0.7414083
144	0.69453347
145	0.71872294
146	0.7192606
147	0.7271296
148	0.71688926
149	0.7267024
150	0.7233494
151	0.7294173
152	0.70618063
153	0.7245614
154	0.7234283
155	0.7246457
156	0.7296267
157	0.732143
158	0.73738235
159	0.75037676
160	0.69136906
161	0.70849234
162	0.71211493
163	0.72368485
164	0.7186096
165	0.7266068
166	0.72110873
167	0.73423624
168	0.7089456
169	0.72599626
170	0.7226654
171	0.73335963
172	0.72567725
173	0.7354007
174	0.73181885
175	0.7423751
176	0.710714
177	0.72670203
178	0.71920884
179	0.7263253
180	0.7246401
181	0.7351033
182	0.7311203
183	0.73269224
184	0.7192448
185	0.7304637
186	0.7237273
187	0.7356726
188	0.7302469
189	0.7344666
190	0.7411705
191	0.7526065
192	0.6875363
193	0.7072872
194	0.7128088
195	0.72233254
196	0.7122143
197	0.7196898
198	0.7255721
199	0.74276316
200	0.7069136
201	0.72579026
202	0.72510993
203	0.7314653
204	0.72123
205	0.72798157
206	0.737452
207	0.75245553
208	0.7023298
209	0.72330505
210	0.72331023
211	0.73054475
212	0.72131354
213	0.7286961
214	0.73296
215	0.7459243
216	0.721994
217	0.72726476
218	0.7332424
219	0.74153715
220	0.7265899
221	0.73331225
222	0.73861885
223	0.75376797
224	0.7050046
225	0.7244304
226	0.7224722
227	0.74262583
228	0.72280693
229	0.73249453
230	0.73246384
231	0.7546347
232	0.7104252
233	0.7297683
234	0.7259228
235	0.749691
236	0.7359193
237	0.7441348
238	0.7382819
239	0.7530915
240	0.7233562
241	0.73614997
242	0.7313192
243	0.74697816
244	0.7273463
245	0.74785644
246	0.74257714
247	0.75248915
248	0.73264
249	0.7460759
250	0.7413541
251	0.75676054
252	0.7438491
253	0.75304526
254	0.75054216
255	0.73801714
